DailyRate,Department,EmployeeNumber,Application ID,HourlyRate,JobLevel,JobRole,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,Employee Source
1085,Research & Development,4907,128354,50,1,Sales Representative,1200,9724,1,Y,0,2,0,0,LinkedIn
1085,Research & Development,4908,128355,50,1,Sales Representative,1200,9724,8,Y,0,2,0,0,LinkedIn
1085,Research & Development,4912,128359,50,1,Sales Representative,1200,9724,1,Y,0,2,0,0,LinkedIn
1085,Research & Development,5923,128360,50,1,Sales Representative,1200,9724,8,Y,0,2,0,0,LinkedIn
1085,Research & Development,5925,128362,50,1,Sales Representative,1200,9724,1,Y,0,2,0,0,LinkedIn
1085,Research & Development,5929,128363,50,1,Sales Representative,1200,9724,8,Y,0,2,0,0,LinkedIn
1085,Research & Development,5930,128367,50,1,Sales Representative,1200,9724,8,Y,0,2,0,0,LinkedIn
143,Sales,5931,129378,56,2,Sales Executive,9355,9558,1,Y,0,5,8,7,Adzuna
143,Sales,5933,129380,56,2,Sales Executive,9355,9558,5,Y,0,5,8,7,Adzuna
143,Sales,5937,129384,56,2,Sales Executive,9355,9558,1,Y,0,5,8,7,Adzuna
143,Sales,5938,129385,56,2,Sales Executive,9355,9558,5,Y,0,5,8,7,Adzuna
143,Sales,6153,129386,56,2,Sales Executive,9355,9558,1,Y,0,5,8,7,Adzuna
143,Sales,6154,129388,56,2,Sales Executive,9355,9558,5,Y,0,5,8,7,Adzuna
143,Sales,6158,129392,56,2,Sales Executive,9355,9558,1,Y,0,5,8,7,Adzuna
143,Sales,6159,129393,56,2,Sales Executive,9355,9558,5,Y,0,5,8,7,Adzuna
906,Research & Development,6161,129608,54,2,Sales Executive,4260,5915,1,Y,1,2,5,2,Seek
906,Research & Development,6162,129609,54,2,Sales Executive,4260,5915,5,Y,1,2,5,2,Seek
906,Research & Development,6166,129613,54,2,Sales Executive,4260,5915,1,Y,1,2,5,2,Seek
906,Research & Development,10478,129614,54,2,Sales Executive,4260,5915,5,Y,1,2,5,2,Seek
906,Research & Development,10480,129616,54,2,Sales Executive,4260,5915,1,Y,1,2,5,2,Seek
906,Research & Development,10481,129617,54,2,Sales Executive,4260,5915,5,Y,1,2,5,2,Seek
906,Research & Development,10482,129621,54,2,Sales Executive,4260,5915,5,Y,1,2,5,2,Seek
1356,Sales,10486,133933,66,4,Manager,17924,4544,1,Y,1,3,31,6,Recruit.net
1356,Sales,10487,133935,66,4,Manager,17924,4544,1,Y,1,3,31,6,Recruit.net
1356,Sales,10489,133936,66,4,Manager,17924,4544,1,Y,1,3,31,6,Recruit.net
1356,Sales,10490,133937,66,4,Manager,17924,4544,1,Y,1,3,31,6,Recruit.net
1356,Sales,10714,133941,66,4,Manager,17924,4544,1,Y,1,3,31,6,Recruit.net
1356,Sales,10716,133942,66,4,Manager,17924,4544,1,Y,1,3,4,2,GlassDoor
1356,Sales,10720,133944,66,4,Manager,17924,4544,1,Y,1,3,31,6,Recruit.net
1356,Sales,10721,133945,66,4,Manager,17924,4544,1,Y,1,3,31,6,Recruit.net
1085,Research & Development,10722,134169,57,1,Laboratory Technician,2778,17725,4,Y,1,1,7,7,Company Website
1085,Research & Development,10725,134171,57,1,Laboratory Technician,2778,17725,1,Y,1,1,7,7,Company Website
1085,Research & Development,10729,134175,57,1,Laboratory Technician,2778,17725,4,Y,1,1,7,7,Company Website
1085,Research & Development,10730,134176,57,1,Laboratory Technician,2778,17725,1,Y,1,1,7,7,Company Website
1085,Research & Development,10812,134177,57,1,Laboratory Technician,2778,17725,4,Y,1,1,7,7,Company Website
1085,Research & Development,10814,134180,57,1,Laboratory Technician,2778,17725,1,Y,1,1,7,7,Company Website
1085,Research & Development,10817,134184,57,1,Laboratory Technician,2778,17725,4,Y,1,1,7,7,Company Website
1085,Research & Development,10818,134185,57,1,Laboratory Technician,2778,17725,1,Y,1,1,7,7,Company Website
143,Sales,10820,134267,66,1,Research Scientist,2799,3339,3,Y,0,1,3,2,Jora
143,Sales,10822,134269,66,1,Research Scientist,2799,3339,3,Y,0,1,3,2,Jora
143,Sales,10825,134272,66,1,Research Scientist,2799,3339,3,Y,0,1,3,2,Jora
143,Sales,10826,134273,66,1,Research Scientist,2799,3339,3,Y,0,1,3,2,Jora
143,Sales,11837,134275,66,1,Research Scientist,2799,3339,3,Y,0,1,3,2,Jora
143,Sales,12088,134277,66,1,Research Scientist,2799,3339,3,Y,0,1,3,2,Jora
143,Sales,13848,134280,66,1,Research Scientist,2799,3339,3,Y,0,1,3,2,Jora
143,Sales,13851,134281,66,1,Research Scientist,2799,3339,3,Y,0,1,3,2,Jora
1085,Research & Development,13852,135292,65,4,Manufacturing Director,12742,7060,1,Y,0,2,0,0,LinkedIn
1356,Sales,13853,135543,82,3,Manufacturing Director,10880,5083,1,Y,1,3,31,6,Recruit.net
906,Research & Development,13856,137303,95,1,Research Scientist,2107,20293,6,Y,1,2,1,0,Company Website
906,Research & Development,13859,137306,95,1,Research Scientist,2107,20293,3,Y,1,2,1,0,Company Website
906,Research & Development,13860,137307,95,1,Research Scientist,2107,20293,6,Y,1,2,1,0,Company Website
906,Research & Development,13861,137308,95,1,Research Scientist,2107,20293,3,Y,1,2,1,0,Company Website
906,Research & Development,18404,137311,95,1,Research Scientist,2107,20293,6,Y,1,2,1,0,Company Website
906,Research & Development,21401,137314,95,1,Research Scientist,2107,20293,3,Y,1,2,1,0,Company Website
906,Research & Development,21403,137315,95,1,Research Scientist,2107,20293,6,Y,1,2,1,0,Company Website
906,Research & Development,21406,137316,95,1,Research Scientist,2107,20293,3,Y,1,2,1,0,Company Website
906,Research & Development,21407,141859,87,2,Manufacturing Director,4877,20460,1,Y,1,2,5,2,Seek
1360,Research & Development,21409,144856,95,1,Research Scientist,2472,26092,1,Y,0,2,1,0,Adzuna
1360,Research & Development,21411,144858,95,1,Research Scientist,2472,26092,3,Y,0,2,1,0,Adzuna
1360,Research & Development,21414,144861,95,1,Research Scientist,2472,26092,1,Y,0,2,1,0,Adzuna
1360,Research & Development,21415,144862,95,1,Research Scientist,2472,26092,3,Y,0,2,1,0,Adzuna
1360,Research & Development,118,144864,95,1,Research Scientist,2472,26092,1,Y,0,2,1,0,Adzuna
1360,Research & Development,120,144866,95,1,Research Scientist,2472,26092,3,Y,0,2,1,0,Adzuna
1360,Research & Development,121,144869,95,1,Research Scientist,2472,26092,1,Y,0,2,1,0,Adzuna
1360,Research & Development,122,144870,95,1,Research Scientist,2472,26092,3,Y,0,2,1,0,Adzuna
427,Human Resources,131,123573,37,1,Laboratory Technician,2670,9964,4,Y,3,3,1,0,Seek
427,Human Resources,132,123575,37,1,Laboratory Technician,2670,9964,1,Y,3,3,1,0,Seek
427,Human Resources,135,123576,37,1,Laboratory Technician,2670,9964,4,Y,3,3,1,0,Seek
427,Human Resources,136,123577,37,1,Laboratory Technician,2670,9964,1,Y,3,3,1,0,Seek
427,Human Resources,137,123586,37,1,Laboratory Technician,2670,9964,4,Y,3,3,1,0,Seek
334,Sales,141,123587,81,1,Laboratory Technician,2670,9964,2,Y,1,3,7,7,LinkedIn
427,Human Resources,142,123590,37,1,Laboratory Technician,2670,9964,1,Y,3,3,1,0,Seek
427,Human Resources,146,123591,37,1,Laboratory Technician,2670,9964,4,Y,3,3,1,0,Seek
427,Human Resources,147,123592,37,1,Laboratory Technician,2670,9964,1,Y,3,3,1,0,Seek
314,Human Resources,154,123596,37,1,Laboratory Technician,2693,13335,1,Y,1,2,1,0,Seek
314,Human Resources,157,123597,37,1,Laboratory Technician,2693,13335,1,Y,1,2,1,0,Seek
314,Human Resources,161,123601,37,1,Laboratory Technician,2693,13335,1,Y,1,2,1,0,Seek
314,Human Resources,162,123602,37,1,Laboratory Technician,2693,13335,1,Y,1,2,1,0,Seek
314,Human Resources,188,123609,37,1,Laboratory Technician,2693,13335,1,Y,1,2,1,0,Seek
314,Human Resources,369,123612,37,1,Laboratory Technician,2693,13335,1,Y,1,2,1,0,Seek
314,Human Resources,400,123616,37,1,Laboratory Technician,2693,13335,1,Y,1,2,1,0,Seek
314,Human Resources,402,123617,37,1,Laboratory Technician,2693,13335,1,Y,1,2,1,0,Seek
167,Research & Development,403,123643,37,3,Manufacturing Director,9526,8787,2,Y,0,2,1,0,Indeed
334,Sales,404,123824,80,1,Research Scientist,3298,15053,1,Y,0,2,22,10,Jora
552,Human Resources,410,123855,38,4,Manager,15427,22021,2,Y,0,3,25,8,GlassDoor
552,Human Resources,412,123857,38,4,Manager,15427,22021,1,Y,0,3,25,8,GlassDoor
552,Human Resources,413,123858,38,4,Manager,15427,22021,2,Y,0,3,25,8,GlassDoor
552,Human Resources,414,123859,38,4,Manager,15427,22021,1,Y,0,3,25,8,GlassDoor
552,Human Resources,1496,123865,38,4,Manager,15427,22021,2,Y,0,3,25,8,GlassDoor
552,Human Resources,1498,123867,38,4,Manager,15427,22021,1,Y,0,3,25,8,GlassDoor
552,Human Resources,1501,123868,38,4,Manager,15427,22021,2,Y,0,3,25,8,GlassDoor
552,Human Resources,1502,123869,38,4,Manager,15427,22021,1,Y,0,3,25,8,GlassDoor
802,Sales,1503,124951,41,1,Sales Representative,2322,9518,3,Y,1,3,0,0,Company Website
802,Sales,1505,124953,41,1,Sales Representative,2322,9518,9,Y,1,3,0,0,Company Website
802,Sales,1508,124956,41,1,Sales Representative,2322,9518,3,Y,1,3,0,0,Company Website
802,Sales,1509,124957,41,1,Sales Representative,2322,9518,9,Y,1,3,0,0,Company Website
802,Sales,1585,124958,41,1,Sales Representative,2322,9518,3,Y,1,3,0,0,Company Website
802,Sales,1587,124960,41,1,Sales Representative,2322,9518,9,Y,1,3,0,0,Company Website
802,Sales,1590,124963,41,1,Sales Representative,2322,9518,3,Y,1,3,0,0,Company Website
802,Sales,1591,124964,41,1,Sales Representative,2322,9518,9,Y,1,3,0,0,Company Website
857,Research & Development,1592,125040,42,2,Sales Executive,5209,19760,1,Y,3,4,11,8,Seek
857,Research & Development,1594,125042,42,2,Sales Executive,5209,19760,6,Y,3,4,11,8,Seek
857,Research & Development,1597,125045,42,2,Sales Executive,5209,19760,1,Y,3,4,11,8,Seek
857,Research & Development,1598,125046,42,2,Sales Executive,5209,19760,6,Y,3,4,11,8,Seek
857,Research & Development,1600,125047,42,2,Sales Executive,5209,19760,1,Y,3,4,11,8,Seek
857,Research & Development,1602,125049,42,2,Sales Executive,5209,19760,6,Y,3,4,11,8,Seek
857,Research & Development,1603,125052,42,2,Sales Executive,5209,19760,1,Y,3,4,11,8,Seek
857,Research & Development,1604,125053,42,2,Sales Executive,5209,19760,6,Y,3,4,11,8,Seek
933,Research & Development,1607,125055,42,3,Healthcare Representative,10673,3142,,Y,1,5,10,9,Seek
933,Research & Development,1609,125057,42,3,Healthcare Representative,10673,3142,0,Y,1,5,10,9,Seek
933,Research & Development,1610,125058,42,3,Healthcare Representative,10673,3142,2,Y,1,5,10,9,Seek
933,Research & Development,1611,125059,42,3,Healthcare Representative,10673,3142,0,Y,1,5,10,9,Seek
933,Research & Development,1661,125062,42,3,Healthcare Representative,10673,3142,2,Y,1,5,10,9,Seek
933,Research & Development,1663,125064,42,3,Healthcare Representative,10673,3142,0,Y,1,5,10,9,Seek
933,Research & Development,1666,125065,42,3,Healthcare Representative,10673,3142,2,Y,1,5,10,9,Seek
933,Research & Development,1667,125066,42,3,Healthcare Representative,10673,3142,0,Y,1,5,10,9,Seek
465,Research & Development,1669,125116,42,2,Sales Executive,4221,8863,1,Y,0,3,5,4,Indeed
465,Research & Development,1671,125118,42,2,Sales Executive,4221,8863,7,Y,0,3,5,4,Indeed
465,Research & Development,1560,125121,42,2,Sales Executive,4221,8863,1,Y,0,3,5,4,Indeed
465,Research & Development,1675,125122,42,2,Sales Executive,4221,8863,7,Y,0,3,5,4,Indeed
465,Research & Development,1969,125124,42,2,Sales Executive,4221,8863,1,Y,0,3,5,4,Indeed
465,Research & Development,1970,125126,42,2,Sales Executive,4221,8863,7,Y,0,3,5,4,Indeed
465,Research & Development,1974,125129,42,2,Sales Executive,4221,8863,1,Y,0,3,5,4,Indeed
465,Research & Development,1975,125130,42,2,Sales Executive,4221,8863,7,Y,0,3,5,4,Indeed
896,Sales,1977,125424,42,3,Sales Executive,9738,22952,0,Y,1,6,9,7,Seek
896,Sales,1978,125425,42,3,Sales Executive,9738,22952,5,Y,1,6,9,7,Seek
896,Sales,1982,125429,42,3,Sales Executive,9738,22952,0,Y,1,6,9,7,Seek
896,Sales,1983,125430,42,3,Sales Executive,9738,22952,5,Y,1,6,9,7,Seek
896,Sales,2113,125432,42,3,Sales Executive,9738,22952,0,Y,1,6,9,7,Seek
896,Sales,2114,125433,42,3,Sales Executive,9738,22952,5,Y,1,6,9,7,Seek
896,Sales,2116,125437,42,3,Sales Executive,9738,22952,0,Y,1,6,9,7,Seek
896,Sales,2117,125438,42,3,Sales Executive,9738,22952,5,Y,1,6,9,7,Seek
1411,Research & Development,2121,125568,43,3,Healthcare Representative,10312,3465,1,Y,1,3,40,10,Seek
1411,Research & Development,2122,125569,43,3,Healthcare Representative,10312,3465,0,Y,1,3,40,10,Seek
1411,Research & Development,2124,125571,43,3,Healthcare Representative,10312,3465,1,Y,1,3,40,10,Seek
1411,Research & Development,2125,125572,43,3,Healthcare Representative,10312,3465,0,Y,1,3,40,10,Seek
1411,Research & Development,2224,125576,43,3,Healthcare Representative,10312,3465,1,Y,1,3,40,10,Seek
1411,Research & Development,2227,125577,43,4,Manager,17924,4544,1,Y,1,3,4,2,Seek
1411,Research & Development,2228,125579,43,3,Healthcare Representative,10312,3465,1,Y,1,3,40,10,Seek
1411,Research & Development,2229,125580,43,3,Healthcare Representative,10312,3465,0,Y,1,3,40,10,Seek
802,Sales,2232,125679,96,3,Sales Executive,8189,21196,3,Y,1,2,9,7,Seek
802,Sales,2235,125682,96,3,Sales Executive,8189,21196,6,Y,1,2,9,7,Seek
802,Sales,2236,125683,96,3,Sales Executive,8189,21196,3,Y,1,2,9,7,Seek
802,Sales,2237,125684,96,3,Sales Executive,8189,21196,6,Y,1,2,9,7,Seek
802,Sales,2445,125687,96,3,Sales Executive,8189,21196,3,Y,1,2,9,7,Seek
802,Sales,2447,125690,96,3,Sales Executive,8189,21196,6,Y,1,2,9,7,Seek
802,Sales,2451,125691,96,3,Sales Executive,8189,21196,3,Y,1,2,9,7,Seek
802,Sales,2452,125692,96,3,Sales Executive,8189,21196,6,Y,1,2,9,7,Seek
857,Research & Development,2453,125900,91,4,Manager,17181,12888,4,Y,1,2,7,6,Seek
857,Research & Development,2455,125902,91,4,Manager,17181,12888,1,Y,1,2,7,6,Seek
857,Research & Development,2459,125906,91,4,Manager,17181,12888,4,Y,1,2,7,6,Seek
857,Research & Development,2460,125907,91,4,Manager,17181,12888,1,Y,1,2,7,6,Seek
857,Research & Development,2461,125908,91,4,Manager,17181,12888,4,Y,1,2,7,6,Seek
857,Research & Development,2464,125910,91,4,Manager,17181,12888,1,Y,1,2,7,6,Seek
857,Research & Development,2467,125914,91,4,Manager,17181,12888,4,Y,1,2,7,6,Seek
857,Research & Development,2468,125915,91,4,Manager,17181,12888,1,Y,1,2,7,6,Seek
933,Research & Development,2469,125916,94,1,Laboratory Technician,2238,6961,2,Y,1,2,5,0,LinkedIn
933,Research & Development,2472,125919,94,1,Laboratory Technician,2238,6961,1,Y,1,2,5,0,LinkedIn
933,Research & Development,2475,125922,94,1,Laboratory Technician,2238,6961,2,Y,1,2,5,0,LinkedIn
933,Research & Development,2476,125923,94,1,Laboratory Technician,2238,6961,1,Y,1,2,5,0,LinkedIn
933,Research & Development,2524,125924,94,1,Laboratory Technician,2238,6961,2,Y,1,2,5,0,LinkedIn
933,Research & Development,2525,125927,94,1,Laboratory Technician,2238,6961,1,Y,1,2,5,0,LinkedIn
933,Research & Development,2527,125930,94,1,Laboratory Technician,2238,6961,2,Y,1,2,5,0,LinkedIn
933,Research & Development,2528,125931,94,1,Laboratory Technician,2238,6961,1,Y,1,2,5,0,LinkedIn
334,Sales,2532,125979,44,2,Sales Representative,2306,16047,2,Y,1,3,7,7,LinkedIn
334,Sales,2534,125980,44,2,Sales Representative,2306,16047,8,Y,1,3,7,7,LinkedIn
334,Sales,2535,125982,44,2,Sales Representative,2306,16047,2,Y,1,3,7,7,LinkedIn
334,Sales,2736,125983,44,2,Sales Representative,2306,16047,8,Y,1,3,7,7,LinkedIn
334,Sales,2738,125987,44,2,Sales Representative,2306,16047,8,Y,1,3,7,7,LinkedIn
334,Sales,2740,125989,44,2,Sales Representative,2306,16047,2,Y,1,3,7,7,LinkedIn
334,Sales,2741,125990,44,2,Sales Representative,2306,16047,8,Y,1,3,7,7,LinkedIn
465,Research & Development,2744,126191,56,1,Research Scientist,2451,4609,4,Y,1,2,9,8,LinkedIn
465,Research & Development,2746,126193,56,1,Research Scientist,2451,4609,3,Y,1,2,9,8,LinkedIn
465,Research & Development,2748,126195,56,1,Research Scientist,2451,4609,4,Y,1,2,9,8,LinkedIn
465,Research & Development,2749,126196,56,1,Research Scientist,2451,4609,3,Y,1,2,9,8,LinkedIn
465,Research & Development,3103,126199,56,1,Research Scientist,2451,4609,4,Y,1,2,9,8,LinkedIn
465,Research & Development,3416,126201,56,1,Research Scientist,2451,4609,3,Y,1,2,9,8,LinkedIn
465,Research & Development,3418,126203,56,1,Research Scientist,2451,4609,4,Y,1,2,9,8,LinkedIn
465,Research & Development,3421,126204,56,1,Research Scientist,2451,4609,3,Y,1,2,9,8,LinkedIn
247,Research & Development,3422,126558,45,2,Manufacturing Director,9547,14074,3,Y,0,4,4,3,Company Website
267,Sales,3424,126871,46,2,Healthcare Representative,4876,14242,9,Y,1,5,3,2,Indeed
267,Sales,3426,126873,46,2,Healthcare Representative,4876,14242,0,Y,1,5,3,2,Indeed
267,Sales,3429,126876,46,2,Healthcare Representative,4876,14242,9,Y,1,5,3,2,Indeed
267,Sales,3430,126877,46,2,Healthcare Representative,4876,14242,0,Y,1,5,3,2,Indeed
267,Sales,3525,126879,46,2,Healthcare Representative,4876,14242,9,Y,1,5,3,2,Indeed
267,Sales,3526,126881,46,2,Healthcare Representative,4876,14242,0,Y,1,5,3,2,Indeed
267,Sales,3527,126884,46,2,Healthcare Representative,4876,14242,9,Y,1,5,3,2,Indeed
267,Sales,3528,126885,46,2,Healthcare Representative,4876,14242,0,Y,1,5,3,2,Indeed
896,Sales,3529,126980,75,3,Manager,13591,14674,3,Y,0,3,1,0,Seek
1276,Sales,3530,126981,46,3,Manager,13591,14674,3,Y,0,3,1,0,Seek
1276,Sales,3531,126982,46,3,Manager,13591,14674,1,Y,0,3,1,0,Seek
896,Sales,3532,126983,75,3,Manager,13591,14674,1,Y,0,3,1,0,Seek
896,Sales,3533,126984,75,3,Manager,13591,14674,3,Y,0,3,1,0,Seek
1276,Sales,3534,126985,46,3,Manager,13591,14674,3,Y,0,3,1,0,Seek
1276,Sales,3535,126986,46,3,Manager,13591,14674,1,Y,0,3,1,0,Seek
896,Sales,3536,126987,75,3,Manager,13591,14674,1,Y,0,3,1,0,Seek
896,Sales,3537,126988,75,3,Manager,13591,14674,3,Y,0,3,1,0,Seek
1276,Sales,3538,126989,46,3,Manager,13591,14674,3,Y,0,3,1,0,Seek
1276,Sales,3539,126990,46,3,Manager,13591,14674,1,Y,0,3,1,0,Seek
896,Sales,3540,126991,75,3,Manager,13591,14674,1,Y,0,3,1,0,Seek
896,Sales,3957,126992,75,3,Manager,13591,14674,3,Y,0,3,1,0,Seek
1276,Sales,3960,126993,46,3,Manager,13591,14674,3,Y,0,3,1,0,Seek
1276,Sales,3961,126994,46,3,Manager,13591,14674,1,Y,0,3,1,0,Seek
896,Sales,3962,126995,75,3,Manager,13591,14674,1,Y,0,3,1,0,Seek
1411,Research & Development,3965,127412,36,2,Research Scientist,3072,19877,2,Y,2,2,1,0,Company Website
1411,Research & Development,3968,127415,36,2,Research Scientist,3072,19877,3,Y,2,2,1,0,Company Website
1411,Research & Development,3969,127416,36,2,Research Scientist,3072,19877,2,Y,2,2,1,0,Company Website
1411,Research & Development,3970,127417,36,2,Research Scientist,3072,19877,3,Y,2,2,1,0,Company Website
1411,Research & Development,4883,127420,36,2,Research Scientist,3072,19877,2,Y,2,2,1,0,Company Website
1411,Research & Development,4885,127423,36,2,Research Scientist,3072,19877,3,Y,2,2,1,0,Company Website
1411,Research & Development,4889,127424,36,2,Research Scientist,3072,19877,2,Y,2,2,1,0,Company Website
1411,Research & Development,4890,127425,36,2,Research Scientist,3072,19877,3,Y,2,2,1,0,Company Website
334,Sales,4892,128338,88,4,Manager,16015,15896,1,Y,0,2,22,10,Jora
334,Sales,4896,128340,88,4,Manager,16015,15896,1,Y,0,2,22,10,Jora
334,Sales,4897,128344,88,4,Manager,16015,15896,1,Y,0,2,22,10,Jora
334,Sales,5389,128345,88,4,Manager,16015,15896,1,Y,0,2,22,10,Jora
334,Sales,5390,128347,88,4,Manager,16015,15896,1,Y,0,2,22,10,Jora
334,Sales,5392,128351,88,4,Manager,16015,15896,1,Y,0,2,22,10,Jora
334,Sales,5393,128352,88,4,Manager,16015,15896,1,Y,0,2,22,10,Jora
247,Research & Development,5397,128844,52,2,Research Scientist,4869,16885,3,Y,0,4,4,3,Company Website
247,Research & Development,5398,128845,52,2,Research Scientist,4869,16885,3,Y,0,4,4,3,Company Website
247,Research & Development,5400,128847,52,2,Research Scientist,4869,16885,3,Y,0,4,4,3,Company Website
247,Research & Development,5608,128848,52,2,Research Scientist,4869,16885,3,Y,0,4,4,3,Company Website
247,Research & Development,5611,128852,52,2,Research Scientist,4869,16885,3,Y,0,4,4,3,Company Website
247,Research & Development,5612,128853,52,2,Research Scientist,4869,16885,3,Y,0,4,4,3,Company Website
247,Research & Development,5613,128855,52,2,Research Scientist,4869,16885,3,Y,0,4,4,3,Company Website
483,Research & Development,5615,129063,95,2,Manufacturing Director,6032,10110,6,Y,0,3,5,4,Recruit.net
483,Research & Development,5618,129066,95,2,Manufacturing Director,6032,10110,1,Y,0,3,5,4,Recruit.net
483,Research & Development,5619,129067,95,2,Manufacturing Director,6032,10110,6,Y,0,3,5,4,Recruit.net
483,Research & Development,5620,129068,95,2,Manufacturing Director,6032,10110,1,Y,0,3,5,4,Recruit.net
483,Research & Development,5909,129070,95,2,Manufacturing Director,6032,10110,6,Y,0,3,5,4,Recruit.net
483,Research & Development,5911,129073,95,2,Manufacturing Director,6032,10110,1,Y,0,3,5,4,Recruit.net
483,Research & Development,5912,129074,95,2,Manufacturing Director,6032,10110,6,Y,0,3,5,4,Recruit.net
483,Research & Development,5913,129075,95,2,Manufacturing Director,6032,10110,1,Y,0,3,5,4,Recruit.net
167,Research & Development,5917,129364,53,2,Manufacturing Director,5258,16044,2,Y,0,2,1,0,Indeed
167,Research & Development,5919,129366,53,2,Manufacturing Director,5258,16044,1,Y,0,2,1,0,Indeed
167,Research & Development,5920,129367,53,2,Manufacturing Director,5258,16044,2,Y,0,2,1,0,Indeed
167,Research & Development,6514,129368,53,2,Manufacturing Director,5258,16044,1,Y,0,2,1,0,Indeed
167,Research & Development,6516,129372,53,2,Manufacturing Director,5258,16044,2,Y,0,2,1,0,Indeed
167,Research & Development,6520,129374,53,2,Manufacturing Director,5258,16044,1,Y,0,2,1,0,Indeed
167,Research & Development,6521,129375,53,2,Manufacturing Director,5258,16044,1,Y,0,2,1,0,Indeed
645,Sales,6522,129969,49,3,Sales Executive,8392,19566,1,Y,1,2,10,7,Company Website
645,Sales,6524,129971,49,3,Sales Executive,8392,19566,4,Y,1,2,10,7,Company Website
645,Sales,6528,129975,49,3,Sales Executive,8392,19566,1,Y,1,2,10,7,Company Website
645,Sales,6529,129976,49,3,Sales Executive,8392,19566,4,Y,1,2,10,7,Company Website
645,Sales,7045,129977,49,3,Sales Executive,8392,19566,1,Y,1,2,10,7,Company Website
645,Sales,7047,129979,49,3,Sales Executive,8392,19566,4,Y,1,2,10,7,Company Website
