Attrition,DistanceFromHome,EmployeeNumber,WorkLifeBalance,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,PercentSalaryHike,StandardHours,Employee Last Date,Attrition Month
Yes,2,4908,3,0,0,No,12,80,15/10/2022,Oct
Yes,2,4912,3,0,0,No,12,80,8/11/2022,Nov
Yes,2,5923,3,0,0,No,12,80,12/11/2022,Nov
Yes,2,5925,3,0,0,No,12,80,25/6/2022,Jun
Yes,2,5929,3,0,0,No,12,80,27/4/2022,Apr
Yes,2,5930,3,0,0,No,12,80,16/4/2022,Apr
Yes,4,5931,3,7,7,No,18,80,6/4/2022,Apr
Yes,4,5933,3,7,7,No,18,80,31/3/2022,Mar
Yes,4,5937,3,7,7,No,18,80,19/5/2022,May
Yes,4,5938,3,7,7,No,18,80,24/4/2022,Apr
Yes,4,6153,3,7,7,No,18,80,15/7/2022,Jul
Yes,4,6154,3,7,7,No,18,80,5/4/2022,Apr
Yes,4,6158,3,7,7,No,18,80,4/9/2022,Sep
Yes,4,6159,3,7,7,No,18,80,21/5/2022,May
Yes,5,6161,4,0,3,Yes,12,80,18/6/2022,Jun
Yes,5,6162,4,0,3,Yes,12,80,12/4/2022,Apr
Yes,5,6166,4,0,3,Yes,12,80,19/7/2022,Jul
Yes,5,10478,4,0,3,Yes,12,80,2/3/2022,Mar
Yes,5,10480,4,0,3,Yes,12,80,26/8/2022,Aug
Yes,5,10481,4,0,3,Yes,12,80,18/5/2022,May
Yes,5,10482,4,0,3,Yes,12,80,4/4/2022,Apr
Yes,20,10486,3,14,7,No,11,80,10/4/2022,Apr
Yes,20,10487,3,14,7,No,11,80,5/9/2022,Sep
Yes,20,10489,3,14,7,No,11,80,4/5/2022,May
Yes,20,10490,3,14,7,No,11,80,31/7/2022,Jul
Yes,20,10714,3,14,7,No,11,80,14/3/2022,Mar
Yes,20,10716,3,1,3,No,11,80,17/6/2022,Jun
Yes,20,10720,3,14,7,No,11,80,24/8/2022,Aug
Yes,20,10721,3,14,7,No,11,80,17/5/2022,May
Yes,2,10722,2,1,0,Yes,13,80,3/9/2022,Sep
Yes,2,10725,2,1,0,Yes,13,80,1/4/2022,Apr
Yes,2,10729,2,1,0,Yes,13,80,15/6/2022,Jun
Yes,2,10730,2,1,0,Yes,13,80,17/6/2022,Jun
Yes,2,10812,2,1,0,Yes,13,80,11/3/2022,Mar
Yes,2,10814,2,1,0,Yes,13,80,7/8/2022,Aug
Yes,2,10817,2,1,0,Yes,13,80,16/4/2022,Apr
Yes,2,10818,2,1,0,Yes,13,80,29/5/2022,May
Yes,4,10820,3,0,2,Yes,11,80,5/4/2022,Apr
Yes,4,10822,3,0,2,Yes,11,80,8/5/2022,May
Yes,4,10825,3,0,2,Yes,11,80,18/10/2022,Oct
Yes,4,10826,3,0,2,Yes,11,80,5/6/2022,Jun
Yes,4,11837,3,0,2,Yes,11,80,16/4/2022,Apr
Yes,4,12088,3,0,2,Yes,11,80,29/7/2022,Jul
Yes,4,13848,3,0,2,Yes,11,80,10/4/2022,Apr
Yes,4,13851,3,0,2,Yes,11,80,14/8/2022,Aug
Yes,1,13852,3,0,0,No,12,80,7/11/2022,Nov
Yes,22,13853,3,14,7,No,11,80,1/10/2022,Oct
Yes,5,13856,1,0,0,No,17,80,9/9/2022,Sep
Yes,5,13859,1,0,0,No,17,80,1/11/2022,Nov
Yes,5,13860,1,0,0,No,17,80,15/8/2022,Aug
Yes,5,13861,1,0,0,No,17,80,27/4/2022,Apr
Yes,5,18404,1,0,0,No,17,80,11/8/2022,Aug
Yes,5,21401,1,0,0,No,17,80,26/8/2022,Aug
Yes,5,21403,1,0,0,No,17,80,10/4/2022,Apr
Yes,5,21406,1,0,0,No,17,80,13/11/2022,Nov
Yes,3,21407,4,0,3,Yes,12,80,29/8/2022,Aug
Yes,12,21409,3,0,0,Yes,23,80,8/11/2022,Nov
Yes,12,21411,3,0,0,Yes,23,80,20/3/2022,Mar
Yes,12,21414,3,0,0,Yes,23,80,20/8/2022,Aug
Yes,12,21415,3,0,0,Yes,23,80,3/8/2022,Aug
Yes,12,118,3,0,0,Yes,23,80,15/9/2022,Sep
Yes,12,120,3,0,0,Yes,23,80,21/8/2022,Aug
Yes,12,121,3,0,0,Yes,23,80,1/11/2022,Nov
Yes,12,122,3,0,0,Yes,23,80,24/4/2022,Apr
No,10,131,2,0,0,Yes,20,80,,
No,10,132,2,0,0,Yes,20,80,,
No,10,135,2,0,0,Yes,20,80,,
No,10,136,2,0,0,Yes,20,80,,
No,10,137,2,0,0,Yes,20,80,,
No,2,141,1,4,5,Yes,20,80,,
No,10,142,2,0,0,Yes,20,80,,
No,10,146,2,0,0,Yes,20,80,,
No,10,147,2,0,0,Yes,20,80,,
No,1,154,3,0,0,No,22,80,,
No,1,157,3,0,0,No,22,80,,
No,1,161,3,0,0,No,22,80,,
No,1,162,3,0,0,No,22,80,,
No,1,188,3,0,0,No,22,80,,
No,1,369,3,0,0,No,22,80,,
No,1,400,3,0,0,No,22,80,,
No,1,402,3,0,0,No,22,80,,
No,3,403,4,0,0,No,14,80,,
No,2,404,3,0,4,No,19,80,,
No,4,410,3,3,7,No,16,80,,
No,4,412,3,3,7,No,16,80,,
No,4,413,3,3,7,No,16,80,,
No,4,414,3,3,7,No,16,80,,
No,4,1496,3,3,7,No,16,80,,
No,4,1498,3,3,7,No,16,80,,
No,4,1501,3,3,7,No,16,80,,
No,4,1502,3,3,7,No,16,80,,
No,9,1503,3,0,0,No,13,80,,
No,9,1505,3,0,0,No,13,80,,
No,9,1508,3,0,0,No,13,80,,
No,9,1509,3,0,0,No,13,80,,
No,9,1585,3,0,0,No,13,80,,
No,9,1587,3,0,0,No,13,80,,
No,9,1590,3,0,0,No,13,80,,
No,9,1591,3,0,0,No,13,80,,
No,10,1592,2,2,7,Yes,12,80,,
No,10,1594,2,2,7,Yes,12,80,,
No,10,1597,2,2,7,Yes,12,80,,
No,10,1598,2,2,7,Yes,12,80,,
No,10,1600,2,2,7,Yes,12,80,,
No,10,1602,2,2,7,Yes,12,80,,
No,10,1603,2,2,7,Yes,12,80,,
No,10,1604,2,2,7,Yes,12,80,,
No,9,1607,2,9,5,Yes,13,80,,
No,9,1609,2,9,5,Yes,13,80,,
No,9,1610,2,9,5,Yes,13,80,,
No,9,1611,2,9,5,Yes,13,80,,
No,9,1661,2,9,5,Yes,13,80,,
No,9,1663,2,9,5,Yes,13,80,,
No,9,1666,2,9,5,Yes,13,80,,
No,9,1667,2,9,5,Yes,13,80,,
No,14,1669,4,0,4,No,15,80,,
No,14,1671,4,0,4,No,15,80,,
No,14,1560,4,0,4,No,15,80,,
No,14,1675,4,0,4,No,15,80,,
No,14,1969,4,0,4,No,15,80,,
No,14,1970,4,0,4,No,15,80,,
No,14,1974,4,0,4,No,15,80,,
No,14,1975,4,0,4,No,15,80,,
No,6,1977,3,2,8,No,14,80,,
No,6,1978,3,2,8,No,14,80,,
No,6,1982,3,2,8,No,14,80,,
No,6,1983,3,2,8,No,14,80,,
No,6,2113,3,2,8,No,14,80,,
No,6,2114,3,2,8,No,14,80,,
No,6,2116,3,2,8,No,14,80,,
No,6,2117,3,2,8,No,14,80,,
No,19,2121,2,15,6,No,12,80,,
No,19,2122,2,15,6,No,12,80,,
No,19,2124,2,15,6,No,12,80,,
No,19,2125,2,15,6,No,12,80,,
No,19,2224,2,15,6,No,12,80,,
No,19,2227,3,1,3,No,11,80,,
No,19,2228,2,15,6,No,12,80,,
No,19,2229,2,15,6,No,12,80,,
No,9,2232,3,0,7,Yes,13,80,,
No,9,2235,3,0,7,Yes,13,80,,
No,9,2236,3,0,7,Yes,13,80,,
No,9,2237,3,0,7,Yes,13,80,,
No,9,2445,3,0,7,Yes,13,80,,
No,9,2447,3,0,7,Yes,13,80,,
No,9,2451,3,0,7,Yes,13,80,,
No,9,2452,3,0,7,Yes,13,80,,
No,10,2453,2,7,7,No,13,80,,
No,10,2455,2,7,7,No,13,80,,
No,10,2459,2,7,7,No,13,80,,
No,10,2460,2,7,7,No,13,80,,
No,10,2461,2,7,7,No,13,80,,
No,10,2464,2,7,7,No,13,80,,
No,10,2467,2,7,7,No,13,80,,
No,10,2468,2,7,7,No,13,80,,
No,9,2469,3,1,4,No,21,80,,
No,9,2472,3,1,4,No,21,80,,
No,9,2475,3,1,4,No,21,80,,
No,9,2476,3,1,4,No,21,80,,
No,9,2524,3,1,4,No,21,80,,
No,9,2525,3,1,4,No,21,80,,
No,9,2527,3,1,4,No,21,80,,
No,9,2528,3,1,4,No,21,80,,
No,2,2532,1,4,5,Yes,20,80,,
No,2,2534,1,4,5,Yes,20,80,,
No,2,2535,1,4,5,Yes,20,80,,
No,2,2736,1,4,5,Yes,20,80,,
No,2,2738,1,4,5,Yes,20,80,,
No,2,2740,1,4,5,Yes,20,80,,
No,2,2741,1,4,5,Yes,20,80,,
No,14,2744,3,1,8,No,12,80,,
No,14,2746,3,1,8,No,12,80,,
No,14,2748,3,1,8,No,12,80,,
No,14,2749,3,1,8,No,12,80,,
No,14,3103,3,1,8,No,12,80,,
No,14,3416,3,1,8,No,12,80,,
No,14,3418,3,1,8,No,12,80,,
No,14,3421,3,1,8,No,12,80,,
No,1,3422,2,0,3,No,12,80,,
No,10,3424,1,0,2,No,14,80,,
No,10,3426,1,0,2,No,14,80,,
No,10,3429,1,0,2,No,14,80,,
No,10,3430,1,0,2,No,14,80,,
No,10,3525,1,0,2,No,14,80,,
No,10,3526,1,0,2,No,14,80,,
No,10,3527,1,0,2,No,14,80,,
No,10,3528,1,0,2,No,14,80,,
No,6,3529,3,0,0,Yes,18,80,,
No,2,3530,3,0,0,Yes,18,80,,
No,2,3531,3,0,0,Yes,18,80,,
No,6,3532,3,0,0,Yes,18,80,,
No,6,3533,3,0,0,Yes,18,80,,
No,2,3534,3,0,0,Yes,18,80,,
No,2,3535,3,0,0,Yes,18,80,,
No,6,3536,3,0,0,Yes,18,80,,
No,6,3537,3,0,0,Yes,18,80,,
No,2,3538,3,0,0,Yes,18,80,,
No,2,3539,3,0,0,Yes,18,80,,
No,6,3540,3,0,0,Yes,18,80,,
No,6,3957,3,0,0,Yes,18,80,,
No,2,3960,3,0,0,Yes,18,80,,
No,2,3961,3,0,0,Yes,18,80,,
No,6,3962,3,0,0,Yes,18,80,,
No,19,3965,2,0,0,No,16,80,,
No,19,3968,2,0,0,No,16,80,,
No,19,3969,2,0,0,No,16,80,,
No,19,3970,2,0,0,No,16,80,,
No,19,4883,2,0,0,No,16,80,,
No,19,4885,2,0,0,No,16,80,,
No,19,4889,2,0,0,No,16,80,,
No,19,4890,2,0,0,No,16,80,,
No,2,4892,3,0,4,No,19,80,,
No,2,4896,3,0,4,No,19,80,,
No,2,4897,3,0,4,No,19,80,,
No,2,5389,3,0,4,No,19,80,,
No,2,5390,3,0,4,No,19,80,,
No,2,5392,3,0,4,No,19,80,,
No,2,5393,3,0,4,No,19,80,,
No,7,5397,2,0,3,No,12,80,,
No,7,5398,2,0,3,No,12,80,,
No,7,5400,2,0,3,No,12,80,,
No,7,5608,2,0,3,No,12,80,,
No,7,5611,2,0,3,No,12,80,,
No,7,5612,2,0,3,No,12,80,,
No,7,5613,2,0,3,No,12,80,,
No,6,5615,3,1,2,Yes,15,80,,
No,6,5618,3,1,2,Yes,15,80,,
No,6,5619,3,1,2,Yes,15,80,,
No,6,5620,3,1,2,Yes,15,80,,
No,6,5909,3,1,2,Yes,15,80,,
No,6,5911,3,1,2,Yes,15,80,,
No,6,5912,3,1,2,Yes,15,80,,
No,6,5913,3,1,2,Yes,15,80,,
No,12,5917,4,0,0,No,14,80,,
No,12,5919,4,0,0,No,14,80,,
No,12,5920,4,0,0,No,14,80,,
No,12,6514,4,0,0,No,14,80,,
No,12,6516,4,0,0,No,14,80,,
No,12,6520,4,0,0,No,14,80,,
No,12,6521,4,0,0,No,14,80,,
No,1,6522,3,0,7,No,16,80,,
No,1,6524,3,0,7,No,16,80,,
No,1,6528,3,0,7,No,16,80,,
No,1,6529,3,0,7,No,16,80,,
No,1,7045,3,0,7,No,16,80,,
No,1,7047,3,0,7,No,16,80,,
No,1,7050,3,0,7,No,16,80,,
No,1,7051,3,0,7,No,16,80,,
No,22,7052,3,0,0,Yes,12,80,,
No,22,7054,3,0,0,Yes,12,80,,
No,22,7057,3,0,0,Yes,12,80,,
No,22,7174,3,0,0,Yes,12,80,,
No,22,7177,3,0,0,Yes,12,80,,
No,22,7180,3,0,0,Yes,12,80,,
No,22,7181,3,0,0,Yes,12,80,,
No,10,7182,3,1,10,No,14,80,,
No,10,7185,3,1,10,No,14,80,,
No,10,7188,3,1,10,No,14,80,,
No,10,7189,3,1,10,No,14,80,,
No,10,7375,3,1,10,No,14,80,,
No,10,7377,3,1,10,No,14,80,,
No,10,7379,3,1,10,No,14,80,,
No,10,7380,3,1,10,No,14,80,,
No,2,7383,3,0,7,Yes,17,80,,
No,2,7384,3,0,7,Yes,17,80,,
No,2,7386,3,0,7,Yes,17,80,,
No,2,7387,3,0,7,Yes,17,80,,
No,2,7480,3,0,7,Yes,17,80,,
No,2,7483,3,0,7,Yes,17,80,,
No,2,7486,3,0,7,Yes,17,80,,
No,2,7487,3,0,7,Yes,17,80,,
No,2,7488,3,11,8,No,16,80,,
No,2,7490,3,11,8,No,16,80,,
No,2,7493,3,11,8,No,16,80,,
No,2,7494,3,11,8,No,16,80,,
No,2,8406,3,11,8,No,16,80,,
No,2,8408,3,11,8,No,16,80,,
No,2,8411,3,11,8,No,16,80,,
No,2,8412,3,11,8,No,16,80,,
No,23,8416,3,2,0,No,14,80,,
No,23,8418,3,2,0,No,14,80,,
No,23,8421,3,2,0,No,14,80,,
No,23,8584,3,2,0,No,14,80,,
No,23,8587,3,2,0,No,14,80,,
No,23,8588,3,2,0,No,14,80,,
No,23,8589,3,2,0,No,14,80,,
No,10,8592,2,12,6,No,15,80,,
No,10,8593,2,12,6,No,15,80,,
No,10,8594,2,12,6,No,15,80,,
No,10,8597,2,12,6,No,15,80,,
No,10,8598,2,12,6,No,15,80,,
No,10,8599,1,0,2,Yes,24,80,,
No,10,8637,3,4,5,No,15,80,,
No,10,8639,2,12,6,No,15,80,,
No,10,8643,2,12,6,No,15,80,,
No,10,8644,2,12,6,No,15,80,,
No,1,8645,3,2,10,No,12,80,,
No,1,8646,3,2,10,No,12,80,,
No,1,8647,3,2,10,No,12,80,,
No,1,8649,3,2,10,No,12,80,,
No,1,8653,3,2,10,No,12,80,,
No,1,8654,3,0,8,No,11,80,,
No,1,8856,3,7,2,No,13,80,,
No,1,8858,3,2,10,No,12,80,,
No,1,8861,3,2,10,No,12,80,,
No,1,8862,3,2,10,No,12,80,,
No,9,8864,1,3,6,No,15,80,,
No,9,8866,1,3,6,No,15,80,,
No,9,8869,1,3,6,No,15,80,,
No,9,9060,1,3,6,No,15,80,,
No,9,9062,1,3,6,No,15,80,,
No,9,9063,1,3,6,No,15,80,,
No,9,9064,1,3,6,No,15,80,,
No,5,9068,3,3,1,No,13,80,,
No,5,9070,3,3,1,No,13,80,,
No,5,9071,3,3,1,No,13,80,,
No,5,9829,3,3,1,No,13,80,,
No,5,9830,3,3,1,No,13,80,,
No,5,9568,3,3,1,No,13,80,,
No,5,9835,3,3,1,No,13,80,,
No,1,9837,3,7,5,Yes,20,80,,
No,1,9838,3,7,5,Yes,20,80,,
No,1,9842,3,7,5,Yes,20,80,,
No,1,10003,3,7,5,Yes,20,80,,
No,1,10005,3,7,5,Yes,20,80,,
No,1,10008,3,7,5,Yes,20,80,,
No,1,10009,3,7,5,Yes,20,80,,
No,28,10011,2,0,3,No,12,80,,
No,28,10013,2,0,3,No,12,80,,
No,28,10016,2,0,3,No,12,80,,
No,28,10018,2,0,3,No,12,80,,
No,28,10019,2,0,3,No,12,80,,
No,28,10021,2,0,3,No,12,80,,
No,28,10022,2,0,3,No,12,80,,
No,3,10026,3,0,4,Yes,18,80,,
No,3,10027,3,0,4,Yes,18,80,,
No,3,10029,3,0,4,Yes,18,80,,
No,3,10908,3,0,4,Yes,18,80,,
No,3,10909,3,0,4,Yes,18,80,,
No,3,10913,3,0,4,Yes,18,80,,
No,3,10914,3,0,4,Yes,18,80,,
No,1,10916,2,0,0,No,13,80,,
No,1,10917,2,0,0,No,13,80,,
No,1,10921,2,0,0,No,13,80,,
No,1,10922,2,0,0,No,13,80,,
No,1,11019,2,0,0,No,13,80,,
No,1,11022,2,0,0,No,13,80,,
No,1,11025,2,0,0,No,13,80,,
No,1,11026,2,0,0,No,13,80,,
No,6,11027,3,2,17,Yes,13,80,,
No,6,11030,3,2,17,Yes,13,80,,
No,6,11033,3,2,17,Yes,13,80,,
No,6,11034,3,2,17,Yes,13,80,,
No,6,11490,3,2,17,Yes,13,80,,
No,6,11493,3,2,17,Yes,13,80,,
No,6,11494,3,2,17,Yes,13,80,,
No,6,11495,3,2,17,Yes,13,80,,
No,9,11500,4,0,11,No,17,80,,
No,9,11501,4,0,11,No,17,80,,
No,9,11502,4,0,11,No,17,80,,
No,9,11803,4,0,11,No,17,80,,
No,9,11806,4,0,11,No,17,80,,
No,9,11807,4,0,11,No,17,80,,
No,9,11808,4,0,11,No,17,80,,
No,7,11811,3,2,1,No,14,80,,
No,7,11814,3,2,1,No,14,80,,
No,7,11815,3,2,1,No,14,80,,
No,7,11816,3,2,1,No,14,80,,
No,7,11875,3,2,1,No,14,80,,
No,7,11876,3,2,1,No,14,80,,
No,7,11878,3,2,1,No,14,80,,
No,7,11879,3,2,1,No,14,80,,
No,1,11883,4,0,0,No,13,80,,
No,1,11884,4,0,0,No,13,80,,
No,1,11886,4,0,0,No,13,80,,
No,1,11887,4,0,0,No,13,80,,
No,1,11960,4,0,0,No,13,80,,
No,1,11963,4,0,0,No,13,80,,
No,1,11966,4,0,0,No,13,80,,
No,1,11967,4,0,0,No,13,80,,
No,7,11968,3,5,10,No,22,80,,
No,7,11971,3,5,10,No,22,80,,
No,7,11974,3,5,10,No,22,80,,
No,7,11975,3,5,10,No,22,80,,
No,7,12159,3,5,10,No,22,80,,
No,7,12161,3,5,10,No,22,80,,
No,7,12162,3,5,10,No,22,80,,
No,7,12163,3,5,10,No,22,80,,
No,6,12167,1,0,4,Yes,14,80,,
No,6,12169,1,0,4,Yes,14,80,,
No,6,12170,1,0,4,Yes,14,80,,
No,6,12171,1,0,4,Yes,14,80,,
No,6,12333,1,0,4,Yes,14,80,,
No,6,12335,1,0,4,Yes,14,80,,
No,6,12338,1,0,4,Yes,14,80,,
No,6,12339,1,0,4,Yes,14,80,,
No,4,12341,3,1,3,No,13,80,,
No,4,12343,3,1,3,No,13,80,,
No,4,12346,3,1,3,No,13,80,,
No,4,12347,3,1,3,No,13,80,,
No,4,12435,3,1,3,No,13,80,,
No,4,12436,3,1,3,No,13,80,,
No,4,12438,3,1,3,No,13,80,,
No,4,12439,3,1,3,No,13,80,,
No,8,12443,3,0,0,No,13,80,,
No,8,12444,3,0,0,No,13,80,,
No,8,12446,3,0,0,No,13,80,,
No,8,12447,3,0,0,No,13,80,,
No,8,12562,3,0,0,No,13,80,,
No,8,12564,3,0,0,No,13,80,,
No,8,12568,3,0,0,No,13,80,,
No,8,12569,3,0,0,No,13,80,,
No,7,12570,3,0,8,No,13,80,,
No,7,12572,3,0,8,No,13,80,,
No,7,12576,3,0,8,No,13,80,,
No,7,12577,3,0,8,No,13,80,,
No,7,13309,3,0,8,No,13,80,,
No,7,13311,3,0,8,No,13,80,,
No,7,13313,3,0,8,No,13,80,,
No,7,13314,3,0,8,No,13,80,,
No,12,13317,3,0,0,Yes,11,80,,
No,12,13319,3,0,0,Yes,11,80,,
No,12,13321,3,0,0,Yes,11,80,,
No,12,13322,3,0,0,Yes,11,80,,
No,12,14543,3,0,0,Yes,11,80,,
No,12,14544,3,0,0,Yes,11,80,,
No,12,14548,3,0,0,Yes,11,80,,
No,12,14549,3,0,0,Yes,11,80,,
No,6,14551,3,0,8,Yes,14,80,,
No,6,14552,3,0,8,Yes,14,80,,
No,6,14556,3,0,8,Yes,14,80,,
No,6,14557,3,0,8,Yes,14,80,,
No,6,15217,3,0,8,Yes,14,80,,
No,6,15238,3,0,8,Yes,14,80,,
No,6,15241,3,0,8,Yes,14,80,,
No,6,15242,3,0,8,Yes,14,80,,
No,18,15243,3,0,4,Yes,18,80,,
No,10,15246,3,11,9,No,13,80,,
No,10,15249,3,11,9,No,13,80,,
No,10,15250,3,11,9,No,13,80,,
No,10,15251,3,11,9,No,13,80,,
No,10,15381,3,11,9,No,13,80,,
No,10,15383,3,11,9,No,13,80,,
No,10,15387,3,11,9,No,13,80,,
No,10,15388,3,11,9,No,13,80,,
No,1,15389,3,1,7,No,17,80,,
No,1,15391,3,1,7,No,17,80,,
No,1,15395,3,1,7,No,17,80,,
No,1,15396,3,1,7,No,17,80,,
No,1,15822,3,1,7,No,17,80,,
No,1,15825,3,1,7,No,17,80,,
No,1,15828,3,1,7,No,17,80,,
No,1,15829,3,1,7,No,17,80,,
No,22,15830,2,3,3,Yes,14,80,,
No,22,15833,2,3,3,Yes,14,80,,
No,22,15836,2,3,3,Yes,14,80,,
No,22,15837,2,3,3,Yes,14,80,,
No,22,16142,2,3,3,Yes,14,80,,
No,22,16144,2,3,3,Yes,14,80,,
No,22,16145,2,3,3,Yes,14,80,,
No,22,16146,2,3,3,Yes,14,80,,
No,6,16149,2,12,7,No,19,80,,
No,6,16151,2,12,7,No,19,80,,
No,6,16152,2,12,7,No,19,80,,
No,6,16153,2,12,7,No,19,80,,
No,6,16310,2,12,7,No,19,80,,
No,6,16311,2,12,7,No,19,80,,
No,6,16315,2,12,7,No,19,80,,
No,6,16316,2,12,7,No,19,80,,
No,9,16318,2,0,2,No,13,80,,
No,9,16319,2,0,2,No,13,80,,
No,9,16323,2,0,2,No,13,80,,
No,9,16324,2,0,2,No,13,80,,
No,9,16438,2,0,2,No,13,80,,
No,9,16440,2,0,2,No,13,80,,
No,9,16443,2,0,2,No,13,80,,
No,9,16444,2,0,2,No,13,80,,
No,7,16446,2,0,2,No,17,80,,
No,7,16448,2,0,2,No,17,80,,
No,7,16451,2,0,2,No,17,80,,
No,7,16452,2,0,2,No,17,80,,
No,7,16453,2,0,2,No,17,80,,
No,7,16455,2,0,2,No,17,80,,
No,7,16459,2,0,2,No,17,80,,
No,7,16460,2,0,2,No,17,80,,
No,5,16461,2,0,3,Yes,12,80,,
No,5,16463,2,0,3,Yes,12,80,,
No,5,16467,2,0,3,Yes,12,80,,
No,5,16468,2,0,3,Yes,12,80,,
No,5,17281,2,0,3,Yes,12,80,,
No,5,17494,2,0,3,Yes,12,80,,
No,5,17496,2,0,3,Yes,12,80,,
No,5,17497,2,0,3,Yes,12,80,,
No,6,17498,3,2,0,No,14,80,,
No,10,17502,1,13,9,Yes,14,80,,
No,10,17504,1,13,9,Yes,14,80,,
No,10,17505,1,13,9,Yes,14,80,,
No,10,17506,1,13,9,Yes,14,80,,
No,10,17794,1,13,9,Yes,14,80,,
No,10,17796,1,13,9,Yes,14,80,,
No,10,17799,1,13,9,Yes,14,80,,
No,10,17800,1,13,9,Yes,14,80,,
No,5,17803,3,1,4,No,11,80,,
No,5,17806,3,1,4,No,11,80,,
No,5,17807,3,1,4,No,11,80,,
No,5,18351,3,1,4,No,11,80,,
No,5,18538,3,1,4,No,11,80,,
No,5,18577,3,1,4,No,11,80,,
No,5,18802,3,1,4,No,11,80,,
No,10,19128,3,3,1,No,13,80,,
No,4,19131,3,0,0,Yes,12,80,,
No,12,19132,2,0,3,No,12,80,,
No,12,19133,3,7,5,Yes,20,80,,
No,23,19136,3,0,2,Yes,16,80,,
No,23,19139,3,0,2,Yes,16,80,,
No,23,19140,3,0,2,Yes,16,80,,
No,23,19141,3,0,2,Yes,16,80,,
No,23,19474,3,0,2,Yes,16,80,,
No,23,19477,3,0,2,Yes,16,80,,
No,23,19480,3,0,2,Yes,16,80,,
No,23,19481,3,0,2,Yes,16,80,,
No,6,19482,3,8,7,No,12,80,,
No,6,19485,3,8,7,No,12,80,,
No,6,19488,3,8,7,No,12,80,,
No,6,19489,3,8,7,No,12,80,,
No,6,19634,3,8,7,No,12,80,,
No,6,19636,3,8,7,No,12,80,,
No,6,19640,3,8,7,No,12,80,,
No,6,19641,3,8,7,No,12,80,,
No,4,19642,3,1,2,No,19,80,,
No,4,19644,3,1,2,No,19,80,,
No,4,19648,3,1,2,No,19,80,,
No,4,19649,3,1,2,No,19,80,,
No,4,20235,3,1,2,No,19,80,,
No,4,20238,3,1,2,No,19,80,,
No,4,20239,3,1,2,No,19,80,,
No,4,20240,3,1,2,No,19,80,,
No,9,20243,3,0,4,No,20,80,,
No,9,20246,3,0,4,No,20,80,,
No,9,20247,3,0,4,No,20,80,,
No,9,20248,3,0,4,No,20,80,,
No,9,20412,3,0,4,No,20,80,,
No,9,20414,3,0,4,No,20,80,,
No,9,20415,3,0,4,No,20,80,,
No,9,20416,3,0,4,No,20,80,,
No,2,20420,3,2,2,Yes,17,80,,
No,2,20422,3,2,2,Yes,17,80,,
No,2,20423,3,2,2,Yes,17,80,,
No,2,20424,3,2,2,Yes,17,80,,
