Age,BusinessTravel,Education,EducationField,EmployeeNumber,Gender,MaritalStatus,TotalWorkingYears,NumCompaniesWorked,Over18
44,Travel_Rarely,2,Marketing,10716,Male,Divorced,9,1,Y
51,Travel_Rarely,2,Other,10720,Male,Divorced,31,1,Y
50,Travel_Rarely,2,Other,10721,Male,Divorced,31,1,Y
27,Travel_Rarely,4,Life Sciences,10722,Female,Divorced,10,4,Y
19,Travel_Rarely,4,Life Sciences,10725,Female,Divorced,10,1,Y
41,Travel_Rarely,4,Life Sciences,10729,Female,Divorced,10,4,Y
36,Travel_Rarely,4,Life Sciences,10730,Female,Divorced,10,1,Y
18,Travel_Rarely,4,Life Sciences,10812,Female,Divorced,10,4,Y
22,Travel_Rarely,4,Life Sciences,10814,Female,Divorced,10,1,Y
30,Travel_Rarely,4,Life Sciences,10817,Female,Divorced,10,4,Y
29,Travel_Rarely,4,Life Sciences,10818,Female,Divorced,10,1,Y
22,Travel_Frequently,3,Marketing,10820,Male,Single,6,3,Y
28,Travel_Frequently,3,Life Sciences,10822,Male,Single,6,3,Y
50,Travel_Frequently,3,Marketing,10825,Male,Single,6,3,Y
50,Travel_Frequently,3,Life Sciences,10826,Male,Single,6,3,Y
42,Travel_Frequently,3,Marketing,11837,Male,Single,6,3,Y
53,Travel_Frequently,3,Life Sciences,12088,Male,Single,6,3,Y
34,Travel_Frequently,3,Marketing,13848,Male,Single,6,3,Y
27,Travel_Frequently,3,Life Sciences,13851,Male,Single,6,3,Y
37,Travel_Rarely,1,Life Sciences,13852,Female,Married,0,1,Y
37,Travel_Rarely,3,Other,13853,Female,Single,31,1,Y
36,Non-Travel,2,Life Sciences,13856,Male,Divorced,5,6,Y
28,Non-Travel,2,Life Sciences,13859,Male,Divorced,5,3,Y
30,Non-Travel,2,Life Sciences,13860,Male,Divorced,5,6,Y
50,Non-Travel,2,Life Sciences,13861,Male,Divorced,5,3,Y
21,Non-Travel,2,Life Sciences,18404,Male,Divorced,5,6,Y
51,Non-Travel,2,Life Sciences,21401,Male,Divorced,5,3,Y
57,Non-Travel,2,Life Sciences,21403,Male,Divorced,5,6,Y
54,Non-Travel,2,Life Sciences,21406,Male,Divorced,5,3,Y
39,Non-Travel,2,Life Sciences,21407,Female,Divorced,5,1,Y
33,Travel_Rarely,3,Technical Degree,21409,Male,Single,1,1,Y
51,Travel_Rarely,3,Medical,21411,Male,Single,1,3,Y
46,Travel_Rarely,3,Technical Degree,21414,Male,Single,1,1,Y
28,Travel_Rarely,3,Medical,21415,Male,Single,1,3,Y
49,Travel_Rarely,3,Technical Degree,118,Male,Single,1,1,Y
42,Travel_Rarely,3,Medical,120,Male,Single,1,3,Y
21,Travel_Rarely,3,Technical Degree,121,Male,Single,1,1,Y
33,Travel_Rarely,3,Medical,122,Male,Single,1,3,Y
49,Travel_Rarely,4,Human Resources,131,Female,Married,12,4,Y
60,Travel_Rarely,4,Medical,132,Female,Married,12,1,Y
35,Travel_Rarely,4,Human Resources,135,Female,Married,12,4,Y
39,Travel_Rarely,4,Medical,136,Female,Married,12,1,Y
49,Travel_Rarely,4,Human Resources,137,Female,Married,12,4,Y
40,Travel_Rarely,4,Life Sciences,141,Female,Married,13,2,Y
30,Travel_Rarely,4,Medical,142,Female,Married,12,1,Y
19,Travel_Rarely,4,Human Resources,146,Female,Married,12,4,Y
58,Travel_Rarely,4,Medical,147,Female,Married,12,1,Y
40,Travel_Rarely,3,Human Resources,154,Male,Divorced,1,1,Y
48,Travel_Rarely,3,Life Sciences,157,Male,Divorced,1,1,Y
49,Travel_Rarely,3,Human Resources,161,Male,Divorced,1,1,Y
54,Travel_Rarely,3,Life Sciences,162,Male,Divorced,1,1,Y
27,Travel_Rarely,3,Human Resources,188,Male,Divorced,1,1,Y
37,Travel_Rarely,3,Life Sciences,369,Male,Divorced,1,1,Y
32,Travel_Rarely,3,Human Resources,400,Male,Divorced,1,1,Y
31,Travel_Rarely,3,Life Sciences,402,Male,Divorced,1,1,Y
35,Travel_Rarely,3,Life Sciences,403,Male,Single,7,2,Y
34,Travel_Rarely,4,Life Sciences,404,Male,Divorced,22,1,Y
37,Non-Travel,3,Human Resources,410,Female,Married,31,2,Y
36,Non-Travel,3,Life Sciences,412,Female,Married,31,1,Y
47,Non-Travel,3,Human Resources,413,Female,Married,31,2,Y
56,Non-Travel,3,Life Sciences,414,Female,Married,31,1,Y
44,Non-Travel,3,Human Resources,1496,Female,Married,31,2,Y
35,Non-Travel,3,Life Sciences,1498,Female,Married,31,1,Y
44,Non-Travel,3,Human Resources,1501,Female,Married,31,2,Y
34,Non-Travel,3,Life Sciences,1502,Female,Married,31,1,Y
18,Travel_Rarely,1,Life Sciences,1503,Male,Divorced,3,3,Y
46,Travel_Rarely,1,Medical,1505,Male,Divorced,3,9,Y
57,Travel_Rarely,1,Life Sciences,1508,Male,Divorced,3,3,Y
21,Travel_Rarely,1,Medical,1509,Male,Divorced,3,9,Y
45,Travel_Rarely,1,Life Sciences,1585,Male,Divorced,3,3,Y
21,Travel_Rarely,1,Medical,1587,Male,Divorced,3,9,Y
21,Travel_Rarely,1,Life Sciences,1590,Male,Divorced,3,3,Y
37,Travel_Rarely,1,Medical,1591,Male,Divorced,3,9,Y
28,Travel_Frequently,3,Life Sciences,1592,Female,Divorced,11,1,Y
40,Travel_Frequently,3,Medical,1594,Female,Divorced,11,6,Y
58,Travel_Frequently,3,Life Sciences,1597,Female,Divorced,11,1,Y
60,Travel_Frequently,3,Medical,1598,Female,Divorced,11,6,Y
46,Travel_Frequently,3,Life Sciences,1600,Female,Divorced,11,1,Y
37,Travel_Frequently,3,Medical,1602,Female,Divorced,11,6,Y
23,Travel_Frequently,3,Life Sciences,1603,Female,Divorced,11,1,Y
58,Travel_Frequently,3,Medical,1604,Female,Divorced,11,6,Y
46,Travel_Rarely,4,Life Sciences,1607,Male,Married,21,,Y
19,Travel_Rarely,4,Medical,1609,Male,Married,21,0,Y
21,Travel_Rarely,4,Life Sciences,1610,Male,Married,21,2,Y
32,Travel_Rarely,4,Medical,1611,Male,Married,21,0,Y
44,Travel_Rarely,4,Life Sciences,1661,Male,Married,21,2,Y
27,Travel_Rarely,4,Medical,1663,Male,Married,21,0,Y
39,Travel_Rarely,4,Life Sciences,1666,Male,Married,21,2,Y
45,Travel_Rarely,4,Medical,1667,Male,Married,21,0,Y
24,Travel_Rarely,3,Life Sciences,1669,Male,Married,5,1,Y
36,Travel_Rarely,3,Medical,1671,Male,Married,5,7,Y
40,Travel_Rarely,3,Life Sciences,1560,Male,Married,5,1,Y
22,Travel_Rarely,3,Medical,1675,Male,Married,5,7,Y
30,Travel_Rarely,3,Life Sciences,1969,Male,Married,5,1,Y
50,Travel_Rarely,3,Medical,1970,Male,Married,5,7,Y
58,Travel_Rarely,3,Life Sciences,1974,Male,Married,5,1,Y
54,Travel_Rarely,3,Medical,1975,Male,Married,5,7,Y
24,Travel_Rarely,3,Life Sciences,1977,Female,Married,10,0,Y
19,Travel_Rarely,3,Marketing,1978,Female,Married,10,5,Y
35,Travel_Rarely,3,Life Sciences,1982,Female,Married,10,0,Y
55,Travel_Rarely,3,Marketing,1983,Female,Married,10,5,Y
52,Travel_Rarely,3,Life Sciences,2113,Female,Married,10,0,Y
42,Travel_Rarely,3,Marketing,2114,Female,Married,10,5,Y
20,Travel_Rarely,3,Life Sciences,2116,Female,Married,10,0,Y
27,Travel_Rarely,3,Marketing,2117,Female,Married,10,5,Y
44,Travel_Rarely,2,Life Sciences,2121,Female,Married,40,1,Y
32,Travel_Rarely,2,Medical,2122,Female,Married,40,0,Y
21,Travel_Rarely,2,Life Sciences,2124,Female,Married,40,1,Y
19,Travel_Rarely,2,Medical,2125,Female,Married,40,0,Y
52,Travel_Rarely,2,Life Sciences,2224,Female,Married,40,1,Y
47,Travel_Rarely,2,Medical,2227,Female,Divorced,9,1,Y
36,Travel_Rarely,2,Life Sciences,2228,Female,Married,40,1,Y
56,Travel_Rarely,2,Medical,2229,Female,Married,40,0,Y
54,Travel_Rarely,1,Life Sciences,2232,Male,Divorced,12,3,Y
38,Travel_Rarely,1,Medical,2235,Male,Divorced,12,6,Y
30,Travel_Rarely,1,Life Sciences,2236,Male,Divorced,12,3,Y
54,Travel_Rarely,1,Medical,2237,Male,Divorced,12,6,Y
32,Travel_Rarely,1,Life Sciences,2445,Male,Divorced,12,3,Y
38,Travel_Rarely,1,Medical,2447,Male,Divorced,12,6,Y
25,Travel_Rarely,1,Life Sciences,2451,Male,Divorced,12,3,Y
35,Travel_Rarely,1,Medical,2452,Male,Divorced,12,6,Y
32,Travel_Frequently,3,Life Sciences,2453,Male,Divorced,21,4,Y
58,Travel_Frequently,3,Medical,2455,Male,Divorced,21,1,Y
32,Travel_Frequently,3,Life Sciences,2459,Male,Divorced,21,4,Y
38,Travel_Frequently,3,Medical,2460,Male,Divorced,21,1,Y
32,Travel_Frequently,3,Life Sciences,2461,Male,Divorced,21,4,Y
52,Travel_Frequently,3,Medical,2464,Male,Divorced,21,1,Y
48,Travel_Frequently,3,Life Sciences,2467,Male,Divorced,21,4,Y
50,Travel_Frequently,3,Medical,2468,Male,Divorced,21,1,Y
21,Travel_Rarely,4,Life Sciences,2469,Male,Married,7,2,Y
23,Travel_Rarely,4,Medical,2472,Male,Married,7,1,Y
33,Travel_Rarely,4,Life Sciences,2475,Male,Married,7,2,Y
52,Travel_Rarely,4,Medical,2476,Male,Married,7,1,Y
52,Travel_Rarely,4,Life Sciences,2524,Male,Married,7,2,Y
35,Travel_Rarely,4,Medical,2525,Male,Married,7,1,Y
45,Travel_Rarely,4,Life Sciences,2527,Male,Married,7,2,Y
51,Travel_Rarely,4,Medical,2528,Male,Married,7,1,Y
44,Travel_Rarely,4,Life Sciences,2532,Male,Married,13,2,Y
51,Travel_Rarely,4,Life Sciences,2534,Male,Married,13,8,Y
39,Travel_Rarely,4,Life Sciences,2535,Male,Married,13,2,Y
34,Travel_Rarely,4,Life Sciences,2736,Male,Married,13,8,Y
30,Travel_Rarely,4,Life Sciences,2738,Male,Married,13,8,Y
59,Travel_Rarely,4,Life Sciences,2740,Male,Married,13,2,Y
35,Travel_Rarely,4,Life Sciences,2741,Male,Married,13,8,Y
19,Travel_Rarely,3,Life Sciences,2744,Male,Divorced,13,4,Y
23,Travel_Rarely,3,Medical,2746,Male,Divorced,13,3,Y
29,Travel_Rarely,3,Life Sciences,2748,Male,Divorced,13,4,Y
35,Travel_Rarely,3,Medical,2749,Male,Divorced,13,3,Y
50,Travel_Rarely,3,Life Sciences,3103,Male,Divorced,13,4,Y
38,Travel_Rarely,3,Medical,3416,Male,Divorced,13,3,Y
53,Travel_Rarely,3,Life Sciences,3418,Male,Divorced,13,4,Y
49,Travel_Rarely,3,Medical,3421,Male,Divorced,13,3,Y
44,Non-Travel,1,Life Sciences,3422,Male,Married,20,3,Y
18,Non-Travel,2,Life Sciences,3424,Male,Married,5,9,Y
41,Non-Travel,2,Medical,3426,Male,Married,5,0,Y
32,Non-Travel,2,Life Sciences,3429,Male,Married,5,9,Y
19,Non-Travel,2,Medical,3430,Male,Married,5,0,Y
27,Non-Travel,2,Life Sciences,3525,Male,Married,5,9,Y
41,Non-Travel,2,Medical,3526,Male,Married,5,0,Y
38,Non-Travel,2,Life Sciences,3527,Male,Married,5,9,Y
51,Non-Travel,2,Medical,3528,Male,Married,5,0,Y
52,Travel_Rarely,3,Life Sciences,3529,Female,Single,16,3,Y
39,Travel_Rarely,5,Life Sciences,3530,Female,Single,16,3,Y
40,Travel_Rarely,5,Life Sciences,3531,Female,Single,16,1,Y
35,Travel_Rarely,3,Marketing,3532,Female,Single,16,1,Y
33,Travel_Rarely,3,Life Sciences,3533,Female,Single,16,3,Y
42,Travel_Rarely,5,Life Sciences,3534,Female,Single,16,3,Y
39,Travel_Rarely,5,Life Sciences,3535,Female,Single,16,1,Y
42,Travel_Rarely,3,Marketing,3536,Female,Single,16,1,Y
33,Travel_Rarely,3,Life Sciences,3537,Female,Single,16,3,Y
31,Travel_Rarely,5,Life Sciences,3538,Female,Single,16,3,Y
33,Travel_Rarely,5,Life Sciences,3539,Female,Single,16,1,Y
41,Travel_Rarely,3,Marketing,3540,Female,Single,16,1,Y
40,Travel_Rarely,3,Life Sciences,3957,Female,Single,16,3,Y
40,Travel_Rarely,5,Life Sciences,3960,Female,Single,16,3,Y
32,Travel_Rarely,5,Life Sciences,3961,Female,Single,16,1,Y
34,Travel_Rarely,3,Marketing,3962,Female,Single,16,1,Y
48,Travel_Rarely,2,Life Sciences,3965,Male,Divorced,17,2,Y
33,Travel_Rarely,2,Medical,3968,Male,Divorced,17,3,Y
35,Travel_Rarely,2,Life Sciences,3969,Male,Divorced,17,2,Y
59,Travel_Rarely,2,Medical,3970,Male,Divorced,17,3,Y
21,Travel_Rarely,2,Life Sciences,4883,Male,Divorced,17,2,Y
55,Travel_Rarely,2,Medical,4885,Male,Divorced,17,3,Y
59,Travel_Rarely,2,Life Sciences,4889,Male,Divorced,17,2,Y
56,Travel_Rarely,2,Medical,4890,Male,Divorced,17,3,Y
36,Travel_Rarely,4,Life Sciences,4892,Male,Single,22,1,Y
58,Travel_Rarely,4,Life Sciences,4896,Male,Single,22,1,Y
42,Travel_Rarely,4,Life Sciences,4897,Male,Single,22,1,Y
43,Travel_Rarely,4,Life Sciences,5389,Male,Single,22,1,Y
56,Travel_Rarely,4,Life Sciences,5390,Male,Single,22,1,Y
38,Travel_Rarely,4,Life Sciences,5392,Male,Single,22,1,Y
53,Travel_Rarely,4,Life Sciences,5393,Male,Single,22,1,Y
47,Non-Travel,1,Life Sciences,5397,Female,Single,20,3,Y
28,Non-Travel,1,Marketing,5398,Female,Single,20,3,Y
58,Non-Travel,1,Life Sciences,5400,Female,Single,20,3,Y
41,Non-Travel,1,Marketing,5608,Female,Single,20,3,Y
48,Non-Travel,1,Life Sciences,5611,Female,Single,20,3,Y
40,Non-Travel,1,Marketing,5612,Female,Single,20,3,Y
49,Non-Travel,1,Marketing,5613,Female,Single,20,3,Y
44,Travel_Rarely,3,Medical,5615,Male,Single,8,6,Y
32,Travel_Rarely,3,Marketing,5618,Male,Single,8,1,Y
36,Travel_Rarely,3,Medical,5619,Male,Single,8,6,Y
50,Travel_Rarely,3,Marketing,5620,Male,Single,8,1,Y
37,Travel_Rarely,3,Medical,5909,Male,Single,8,6,Y
40,Travel_Rarely,3,Marketing,5911,Male,Single,8,1,Y
33,Travel_Rarely,3,Medical,5912,Male,Single,8,6,Y
39,Travel_Rarely,3,Marketing,5913,Male,Single,8,1,Y
44,Travel_Rarely,4,Life Sciences,5917,Female,Married,7,2,Y
46,Travel_Rarely,4,Medical,5919,Female,Married,7,1,Y
36,Travel_Rarely,4,Life Sciences,5920,Female,Married,7,2,Y
40,Travel_Rarely,4,Medical,6514,Female,Married,7,1,Y
57,Travel_Rarely,4,Life Sciences,6516,Female,Married,7,2,Y
47,Travel_Rarely,4,Medical,6520,Female,Married,7,1,Y
34,Travel_Rarely,4,Medical,6521,Female,Married,7,1,Y
49,Travel_Rarely,3,Marketing,6522,Male,Married,10,1,Y
18,Travel_Rarely,3,Life Sciences,6524,Male,Married,10,4,Y
23,Travel_Rarely,3,Marketing,6528,Male,Married,10,1,Y
18,Travel_Rarely,3,Life Sciences,6529,Male,Married,10,4,Y
47,Travel_Rarely,3,Marketing,7045,Male,Married,10,1,Y
48,Travel_Rarely,3,Life Sciences,7047,Male,Married,10,4,Y
18,Travel_Rarely,3,Marketing,7050,Male,Married,10,1,Y
31,Travel_Rarely,3,Life Sciences,7051,Male,Married,10,4,Y
47,Travel_Frequently,3,Life Sciences,7052,Male,Married,10,4,Y
56,Travel_Frequently,3,Other,7054,Male,Married,10,0,Y
46,Travel_Frequently,3,Life Sciences,7057,Male,Married,10,4,Y
22,Travel_Frequently,3,Other,7174,Male,Married,10,0,Y
23,Travel_Frequently,3,Life Sciences,7177,Male,Married,10,4,Y
24,Travel_Frequently,3,Other,7180,Male,Married,10,0,Y
55,Travel_Frequently,3,Other,7181,Male,Married,10,0,Y
48,Non-Travel,2,Life Sciences,7182,Male,Single,16,7,Y
36,Non-Travel,2,Medical,7185,Male,Single,16,6,Y
59,Non-Travel,2,Life Sciences,7188,Male,Single,16,7,Y
57,Non-Travel,2,Medical,7189,Male,Single,16,6,Y
24,Non-Travel,2,Life Sciences,7375,Male,Single,16,7,Y
56,Non-Travel,2,Medical,7377,Male,Single,16,6,Y
37,Non-Travel,2,Life Sciences,7379,Male,Single,16,7,Y
54,Non-Travel,2,Medical,7380,Male,Single,16,6,Y
41,Non-Travel,4,Other,7383,Female,Single,10,2,Y
43,Non-Travel,4,Life Sciences,7384,Female,Single,10,0,Y
38,Non-Travel,4,Other,7386,Female,Single,10,2,Y
46,Non-Travel,4,Life Sciences,7387,Female,Single,10,0,Y
27,Non-Travel,4,Other,7480,Female,Single,10,2,Y
46,Non-Travel,4,Life Sciences,7483,Female,Single,10,0,Y
50,Non-Travel,4,Other,7486,Female,Single,10,2,Y
55,Non-Travel,4,Life Sciences,7487,Female,Single,10,0,Y
36,Travel_Rarely,5,Life Sciences,7488,Female,Married,22,7,Y
53,Travel_Rarely,5,Life Sciences,7490,Female,Married,22,1,Y
33,Travel_Rarely,5,Life Sciences,7493,Female,Married,22,7,Y
57,Travel_Rarely,5,Life Sciences,7494,Female,Married,22,1,Y
42,Travel_Rarely,5,Life Sciences,8406,Female,Married,22,7,Y
52,Travel_Rarely,5,Life Sciences,8408,Female,Married,22,1,Y
46,Travel_Rarely,5,Life Sciences,8411,Female,Married,22,7,Y
48,Travel_Rarely,5,Life Sciences,8412,Female,Married,22,1,Y
59,Travel_Rarely,2,Life Sciences,8416,Female,Single,4,9,Y
55,Travel_Rarely,2,Other,8418,Female,Single,4,7,Y
19,Travel_Rarely,2,Life Sciences,8421,Female,Single,4,9,Y
53,Travel_Rarely,2,Other,8584,Female,Single,4,7,Y
51,Travel_Rarely,2,Life Sciences,8587,Female,Single,4,9,Y
33,Travel_Rarely,2,Other,8588,Female,Single,4,7,Y
39,Travel_Rarely,2,Other,8589,Female,Single,4,7,Y
57,Travel_Rarely,4,Human Resources,8592,Male,Divorced,23,3,Y
47,Travel_Rarely,4,Medical,8593,Male,Divorced,23,1,Y
31,Travel_Rarely,4,Human Resources,8594,Male,Divorced,23,3,Y
48,Travel_Rarely,4,Medical,8597,Male,Divorced,23,1,Y
41,Travel_Rarely,4,Human Resources,8598,Male,Divorced,23,3,Y
46,Travel_Rarely,4,Human Resources,8599,Male,Divorced,5,1,Y
35,Travel_Rarely,4,Human Resources,8637,Male,Divorced,10,1,Y
39,Travel_Rarely,4,Medical,8639,Male,Divorced,23,1,Y
47,Travel_Rarely,4,Human Resources,8643,Male,Divorced,23,3,Y
53,Travel_Rarely,4,Medical,8644,Male,Divorced,23,1,Y
50,Travel_Rarely,3,Human Resources,8645,Male,Married,22,1,Y
54,Travel_Rarely,3,Life Sciences,8646,Male,Married,22,1,Y
31,Travel_Rarely,3,Human Resources,8647,Male,Married,22,1,Y
40,Travel_Rarely,3,Life Sciences,8649,Male,Married,22,1,Y
42,Travel_Rarely,3,Human Resources,8653,Male,Married,22,1,Y
50,Travel_Rarely,3,Human Resources,8654,Male,Married,22,8,Y
40,Travel_Rarely,3,Human Resources,8856,Male,Married,9,1,Y
37,Travel_Rarely,3,Life Sciences,8858,Male,Married,22,1,Y
34,Travel_Rarely,3,Human Resources,8861,Male,Married,22,1,Y
60,Travel_Rarely,3,Life Sciences,8862,Male,Married,22,1,Y
56,Travel_Rarely,4,Life Sciences,8864,Female,Married,12,9,Y
53,Travel_Rarely,4,Medical,8866,Female,Married,12,0,Y
22,Travel_Rarely,4,Life Sciences,8869,Female,Married,12,9,Y
41,Travel_Rarely,4,Medical,9060,Female,Married,12,0,Y
29,Travel_Rarely,4,Life Sciences,9062,Female,Married,12,9,Y
49,Travel_Rarely,4,Medical,9063,Female,Married,12,0,Y
38,Travel_Rarely,4,Medical,9064,Female,Married,12,0,Y
28,Travel_Rarely,3,Life Sciences,9068,Male,Single,9,0,Y
23,Travel_Rarely,3,Life Sciences,9070,Male,Single,9,9,Y
54,Travel_Rarely,3,Life Sciences,9071,Male,Single,9,0,Y
59,Travel_Rarely,3,Life Sciences,9829,Male,Single,9,9,Y
30,Travel_Rarely,3,Life Sciences,9830,Male,Single,9,0,Y
58,Travel_Rarely,3,Life Sciences,9568,Male,Single,9,9,Y
32,Travel_Rarely,3,Life Sciences,9835,Male,Single,9,9,Y
40,Travel_Rarely,3,Life Sciences,9837,Female,Married,8,1,Y
48,Travel_Rarely,3,Life Sciences,9838,Female,Married,8,4,Y
19,Travel_Rarely,3,Life Sciences,9842,Female,Married,8,1,Y
24,Travel_Rarely,3,Life Sciences,10003,Female,Married,8,4,Y
47,Travel_Rarely,3,Life Sciences,10005,Female,Married,8,1,Y
49,Travel_Rarely,3,Life Sciences,10008,Female,Married,8,4,Y
51,Travel_Rarely,3,Life Sciences,10009,Female,Married,8,4,Y
33,Travel_Rarely,4,Life Sciences,10011,Male,Divorced,10,9,Y
21,Travel_Rarely,4,Technical Degree,10013,Male,Divorced,10,4,Y
26,Travel_Rarely,4,Life Sciences,10016,Male,Divorced,10,9,Y
47,Travel_Rarely,4,Technical Degree,10018,Male,Divorced,10,4,Y
33,Travel_Rarely,4,Life Sciences,10019,Male,Divorced,10,9,Y
44,Travel_Rarely,4,Technical Degree,10021,Male,Divorced,10,4,Y
46,Travel_Rarely,4,Technical Degree,10022,Male,Divorced,10,4,Y
45,Travel_Rarely,3,Life Sciences,10026,Female,Married,35,7,Y
54,Travel_Rarely,3,Life Sciences,10027,Female,Married,35,5,Y
33,Travel_Rarely,3,Life Sciences,10029,Female,Married,35,7,Y
46,Travel_Rarely,3,Life Sciences,10908,Female,Married,35,5,Y
29,Travel_Rarely,3,Life Sciences,10909,Female,Married,35,7,Y
41,Travel_Rarely,3,Life Sciences,10913,Female,Married,35,5,Y
55,Travel_Rarely,3,Life Sciences,10914,Female,Married,35,5,Y
49,Travel_Rarely,3,Marketing,10916,Female,Married,9,1,Y
53,Travel_Rarely,3,Life Sciences,10917,Female,Married,9,4,Y
46,Travel_Rarely,3,Marketing,10921,Female,Married,9,1,Y
42,Travel_Rarely,3,Life Sciences,10922,Female,Married,9,4,Y
55,Travel_Rarely,3,Marketing,11019,Female,Married,9,1,Y
40,Travel_Rarely,3,Life Sciences,11022,Female,Married,9,4,Y
27,Travel_Rarely,3,Marketing,11025,Female,Married,9,1,Y
52,Travel_Rarely,3,Life Sciences,11026,Female,Married,9,4,Y
50,Travel_Rarely,3,Medical,11027,Male,Single,20,2,Y
43,Travel_Rarely,3,Marketing,11030,Male,Single,20,1,Y
54,Travel_Rarely,3,Medical,11033,Male,Single,20,2,Y
33,Travel_Rarely,3,Marketing,11034,Male,Single,20,1,Y
44,Travel_Rarely,3,Medical,11490,Male,Single,20,2,Y
32,Travel_Rarely,3,Marketing,11493,Male,Single,20,1,Y
28,Travel_Rarely,3,Medical,11494,Male,Single,20,2,Y
28,Travel_Rarely,3,Marketing,11495,Male,Single,20,1,Y
