EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,EmployeeNumber
1,3,4,3,4,2229
3,3,3,3,3,2232
3,3,3,3,3,2235
3,3,3,3,3,2236
3,3,3,3,3,2237
3,3,3,3,3,2445
3,3,3,3,3,2447
3,3,3,3,3,2451
3,3,3,3,3,2452
4,2,1,3,2,2453
4,2,1,3,2,2455
4,2,1,3,2,2459
4,2,1,3,2,2460
4,2,1,3,2,2461
4,2,1,3,2,2464
4,2,1,3,2,2467
4,2,1,3,2,2468
3,3,1,3,4,2469
3,3,1,3,4,2472
3,3,1,4,4,2475
3,3,1,4,4,2476
3,3,1,3,4,2524
3,3,1,3,4,2525
3,3,1,4,4,2527
3,3,1,4,4,2528
1,3,3,3,4,2532
1,3,3,3,4,2534
1,3,3,4,4,2535
1,3,3,4,4,2736
1,3,3,3,4,2738
1,3,3,4,4,2740
1,3,3,4,4,2741
1,3,3,3,1,2744
1,3,3,4,1,2746
1,3,3,3,1,2748
1,3,3,3,1,2749
1,3,3,3,1,3103
1,3,3,4,1,3416
1,3,3,3,1,3418
1,3,3,3,1,3421
1,2,3,3,4,3422
1,2,4,3,4,3424
1,2,4,3,4,3426
1,2,4,3,4,3429
1,2,4,3,4,3430
1,2,4,3,4,3525
1,2,4,3,4,3526
1,2,4,3,4,3527
1,2,4,3,4,3528
4,3,4,3,3,3529
1,3,4,4,3,3530
1,3,4,3,3,3531
4,3,4,3,3,3532
4,3,4,3,3,3533
1,3,4,3,3,3534
1,3,4,3,3,3535
4,3,4,3,3,3536
4,3,4,3,3,3537
1,3,4,4,3,3538
1,3,4,3,3,3539
4,3,4,3,3,3540
4,3,4,3,3,3957
1,3,4,3,3,3960
1,3,4,3,3,3961
4,3,4,3,3,3962
3,3,1,4,1,3965
3,3,1,3,1,3968
3,3,1,3,1,3969
3,3,1,3,1,3970
3,3,1,4,1,4883
3,3,1,3,1,4885
3,3,1,3,1,4889
3,3,1,3,1,4890
4,3,2,3,2,4892
4,3,2,3,2,4896
4,3,2,3,2,4897
4,3,2,3,2,5389
4,3,2,3,2,5390
4,3,2,3,2,5392
4,3,2,3,2,5393
2,3,3,3,4,5397
2,3,3,3,4,5398
2,3,3,3,4,5400
2,3,3,3,4,5608
2,3,3,3,4,5611
2,3,3,3,4,5612
2,3,3,3,4,5613
4,2,2,3,4,5615
4,2,2,3,4,5618
4,2,2,3,4,5619
4,2,2,3,4,5620
4,2,2,3,4,5909
4,2,2,3,4,5911
4,2,2,3,4,5912
4,2,2,3,4,5913
2,3,3,3,3,5917
2,3,3,3,3,5919
2,3,3,3,3,5920
2,3,3,3,3,6514
2,3,3,3,3,6516
2,3,3,3,3,6520
2,3,3,3,3,6521
2,4,1,3,3,6522
2,4,1,3,3,6524
2,4,1,3,3,6528
2,4,1,3,3,6529
2,4,1,3,3,7045
2,4,1,3,3,7047
2,4,1,3,3,7050
2,4,1,3,3,7051
2,3,3,3,3,7052
2,3,3,3,3,7054
2,3,3,3,3,7057
2,3,3,3,3,7174
2,3,3,3,3,7177
2,3,3,3,3,7180
2,3,3,3,3,7181
4,3,4,3,4,7182
4,3,4,4,4,7185
4,3,4,3,4,7188
4,3,4,3,4,7189
4,3,4,3,4,7375
4,3,4,4,4,7377
4,3,4,3,4,7379
4,3,4,3,4,7380
1,2,3,3,1,7383
1,2,3,3,1,7384
1,2,3,3,1,7386
1,2,3,3,1,7387
1,2,3,3,1,7480
1,2,3,3,1,7483
1,2,3,3,1,7486
1,2,3,3,1,7487
2,3,1,3,2,7488
2,3,1,3,2,7490
2,3,1,3,2,7493
2,3,1,3,2,7494
2,3,1,3,2,8406
2,3,1,3,2,8408
2,3,1,3,2,8411
2,3,1,3,2,8412
2,3,3,3,1,8416
2,3,3,4,1,8418
2,3,3,3,1,8421
2,3,3,3,1,8584
2,3,3,3,1,8587
2,3,3,4,1,8588
2,3,3,3,1,8589
2,2,4,3,2,8592
2,2,4,3,2,8593
2,2,4,3,2,8594
2,2,4,3,2,8597
2,2,4,3,2,8598
2,2,4,4,4,8599
2,2,4,3,1,8637
2,2,4,3,2,8639
2,2,4,3,2,8643
2,2,4,3,2,8644
4,2,3,3,2,8645
4,2,3,3,2,8646
4,2,3,3,2,8647
4,2,3,3,2,8649
4,2,3,3,2,8653
4,2,3,3,3,8654
4,2,3,3,1,8856
4,2,3,3,2,8858
4,2,3,3,2,8861
4,2,3,3,2,8862
2,4,2,4,3,8864
2,4,2,3,3,8866
2,4,2,3,3,8869
2,4,2,3,3,9060
2,4,2,4,3,9062
2,4,2,3,3,9063
2,4,2,3,3,9064
2,1,3,3,1,9068
2,1,3,3,1,9070
2,1,3,3,1,9071
2,1,3,3,1,9829
2,1,3,3,1,9830
2,1,3,3,1,9568
2,1,3,3,1,9835
3,3,2,3,1,9837
3,3,2,3,1,9838
3,3,2,4,1,9842
3,3,2,4,1,10003
3,3,2,3,1,10005
3,3,2,3,1,10008
3,3,2,4,1,10009
3,2,4,3,2,10011
3,2,4,3,2,10013
3,2,4,3,2,10016
3,2,4,3,2,10018
3,2,4,3,2,10019
3,2,4,3,2,10021
3,2,4,3,2,10022
3,2,4,3,4,10026
3,2,4,4,4,10027
3,2,4,3,4,10029
3,2,4,3,4,10908
3,2,4,3,4,10909
3,2,4,4,4,10913
3,2,4,3,4,10914
3,3,3,3,4,10916
3,3,3,3,4,10917
3,3,3,3,4,10921
3,3,3,3,4,10922
3,3,3,3,4,11019
3,3,3,3,4,11022
3,3,3,3,4,11025
3,3,3,3,4,11026
4,3,1,3,3,11027
4,3,1,4,3,11030
4,3,1,3,3,11033
4,3,1,3,3,11034
4,3,1,3,3,11490
4,3,1,4,3,11493
4,3,1,3,3,11494
4,3,1,3,3,11495
1,3,3,3,2,11500
1,3,3,3,2,11501
1,3,3,3,2,11502
1,3,3,3,2,11803
1,3,3,3,2,11806
1,3,3,3,2,11807
1,3,3,3,2,11808
4,3,3,4,2,11811
4,3,3,3,2,11814
4,3,3,3,2,11815
4,3,3,3,2,11816
4,3,3,4,2,11875
4,3,3,3,2,11876
4,3,3,3,2,11878
4,3,3,3,2,11879
3,3,3,3,2,11883
3,3,3,3,2,11884
3,3,3,3,2,11886
3,3,3,3,2,11887
3,3,3,3,2,11960
3,3,3,3,2,11963
3,3,3,3,2,11966
3,3,3,3,2,11967
2,1,3,3,2,11968
2,1,3,3,2,11971
2,1,3,4,2,11974
2,1,3,4,2,11975
2,1,3,3,2,12159
2,1,3,3,2,12161
2,1,3,4,2,12162
2,1,3,4,2,12163
3,3,4,3,3,12167
3,3,4,3,3,12169
3,3,4,3,3,12170
3,3,4,3,3,12171
3,3,4,3,3,12333
3,3,4,3,3,12335
3,3,4,3,3,12338
3,3,4,3,3,12339
3,2,3,3,3,12341
3,2,3,3,3,12343
3,2,3,3,3,12346
3,2,3,3,3,12347
3,2,3,3,3,12435
3,2,3,3,3,12436
3,2,3,3,3,12438
3,2,3,3,3,12439
3,2,4,4,3,12443
3,2,4,3,3,12444
3,2,4,3,3,12446
3,2,4,3,3,12447
3,2,4,4,3,12562
3,2,4,3,3,12564
3,2,4,3,3,12568
3,2,4,3,3,12569
2,4,3,3,3,12570
2,4,3,3,3,12572
2,4,3,3,3,12576
2,4,3,3,3,12577
2,4,3,3,3,13309
2,4,3,3,3,13311
2,4,3,3,3,13313
2,4,3,3,3,13314
2,3,4,3,1,13317
2,3,4,4,1,13319
2,3,4,3,1,13321
2,3,4,3,1,13322
2,3,4,3,1,14543
2,3,4,4,1,14544
2,3,4,3,1,14548
2,3,4,3,1,14549
3,4,3,3,4,14551
3,4,3,3,4,14552
3,4,3,3,4,14556
3,4,3,3,4,14557
3,4,3,3,4,15217
3,4,3,3,4,15238
3,4,3,3,4,15241
3,4,3,3,4,15242
1,3,3,3,4,15243
3,1,2,4,1,15246
3,1,2,3,1,15249
3,1,2,3,1,15250
3,1,2,3,1,15251
3,1,2,4,1,15381
3,1,2,3,1,15383
3,1,2,3,1,15387
3,1,2,3,1,15388
3,3,1,3,4,15389
3,3,1,3,4,15391
3,3,1,3,4,15395
3,3,1,3,4,15396
3,3,1,3,4,15822
3,3,1,3,4,15825
3,3,1,3,4,15828
3,3,1,3,4,15829
4,3,4,3,1,15830
4,3,4,4,1,15833
4,3,4,3,1,15836
4,3,4,3,1,15837
4,3,4,3,1,16142
4,3,4,4,1,16144
4,3,4,3,1,16145
4,3,4,3,1,16146
3,3,4,4,4,16149
3,3,4,3,4,16151
3,3,4,3,4,16152
3,3,4,3,4,16153
3,3,4,4,4,16310
3,3,4,3,4,16311
3,3,4,3,4,16315
3,3,4,3,4,16316
3,2,1,3,1,16318
3,2,1,3,1,16319
3,2,1,3,1,16323
3,2,1,3,1,16324
3,2,1,3,1,16438
3,2,1,3,1,16440
3,2,1,3,1,16443
3,2,1,3,1,16444
4,2,2,3,1,16446
4,2,2,3,1,16448
4,2,2,3,1,16451
4,2,2,3,1,16452
4,2,2,3,1,16453
4,2,2,3,1,16455
4,2,2,3,1,16459
4,2,2,3,1,16460
2,4,3,3,1,16461
2,4,3,3,1,16463
2,4,3,3,1,16467
2,4,3,3,1,16468
2,4,3,3,1,17281
2,4,3,3,1,17494
2,4,3,3,1,17496
2,4,3,3,1,17497
2,3,2,3,1,17498
4,3,4,3,3,17502
4,3,4,3,3,17504
4,3,4,3,3,17505
4,3,4,3,3,17506
4,3,4,3,3,17794
4,3,4,3,3,17796
4,3,4,3,3,17799
4,3,4,3,3,17800
4,3,2,3,1,17803
4,3,2,3,1,17806
4,3,2,3,1,17807
4,3,2,3,1,18351
4,3,2,3,1,18538
4,3,2,3,1,18577
4,3,2,3,1,18802
2,3,1,3,1,19128
1,3,3,3,3,19131
4,2,3,3,2,19132
4,3,2,4,1,19133
4,3,3,3,4,19136
4,3,3,4,4,19139
4,3,3,3,4,19140
4,3,3,3,4,19141
4,3,3,3,4,19474
4,3,3,4,4,19477
4,3,3,3,4,19480
4,3,3,3,4,19481
4,3,,3,2,19482
4,3,3,3,2,19485
4,3,3,3,2,19488
4,3,3,3,2,19489
4,3,3,3,2,19634
4,3,3,3,2,19636
4,3,3,3,2,19640
4,3,3,3,2,19641
3,1,2,3,2,19642
3,1,2,4,2,19644
3,1,2,3,2,19648
3,1,2,3,2,19649
3,1,2,3,2,20235
3,1,2,4,2,20238
3,1,2,3,2,20239
3,1,2,3,2,20240
3,3,1,3,2,20243
3,3,1,3,2,20246
3,3,1,4,2,20247
3,3,1,4,2,20248
3,3,1,3,2,20412
3,3,1,3,2,20414
3,3,1,4,2,20415
3,3,1,4,2,20416
4,3,4,3,3,20420
4,3,4,3,3,20422
4,3,4,3,3,20423
4,3,4,3,3,20424
4,3,4,3,3,20683
4,3,4,3,3,20685
4,3,4,3,3,20689
4,3,4,3,3,20690
2,4,2,3,1,20691
2,4,2,3,1,20693
2,4,2,3,1,20697
2,4,2,3,1,20698
2,4,2,3,1,20699
2,4,2,3,1,20701
2,4,2,3,1,20705
2,4,2,3,1,20706
3,3,3,3,4,20707
3,3,3,3,4,20709
3,3,3,3,4,20713
3,3,3,3,4,20714
3,3,3,3,4,21672
3,3,3,3,4,21674
3,3,3,3,4,21678
3,3,3,3,4,21679
3,3,2,3,3,21680
3,3,2,3,3,21682
3,3,2,4,3,21686
3,3,2,4,3,21687
3,3,2,3,3,21952
3,3,2,3,3,22454
3,3,2,4,3,22455
3,3,2,4,3,22457
1,3,1,3,3,22458
4,2,3,3,4,22462
4,2,3,3,4,22463
4,2,3,3,4,22465
4,2,3,3,4,22466
4,2,3,3,4,22711
4,2,3,3,4,22713
4,2,3,3,4,22717
4,2,3,3,4,22718
4,3,4,3,1,22719
4,3,4,3,1,22721
4,3,4,4,1,22725
4,3,4,4,1,22726
4,3,4,3,1,23106
4,3,4,3,1,23109
4,3,4,4,1,23110
4,3,4,4,1,23111
1,2,2,4,3,23114
1,2,2,3,3,23117
1,2,2,4,3,23118
1,2,2,4,3,23119
1,2,2,4,3,23154
1,2,2,3,3,23156
1,2,2,4,3,23158
1,2,2,4,3,23159
3,2,2,3,3,23162
3,2,2,3,3,23164
3,2,2,3,3,23166
3,2,2,3,3,23167
3,2,2,3,3,4
3,2,2,3,3,5
3,2,2,3,3,6
3,2,2,3,3,12
1,3,4,4,1,14
1,3,4,3,1,15
1,3,4,3,1,16
1,3,4,3,1,37
1,3,4,4,1,39
1,3,4,3,1,41
1,2,1,4,1,42
1,3,4,3,1,44
4,2,3,3,2,45
4,2,3,3,2,46
4,2,3,3,2,48
4,2,3,3,2,50
4,2,3,3,2,51
2,3,1,3,3,127
4,2,4,4,4,1707
4,2,3,3,2,1709
4,2,3,3,2,1713
4,2,3,3,2,1714
1,3,4,4,1,1716
1,3,4,3,1,1720
1,3,4,3,1,1721
1,3,4,3,1,4085
3,4,1,3,4,4088
3,3,1,3,4,4091
3,3,1,4,4,4092
3,3,1,4,4,4093
3,3,1,4,4,4096
3,3,1,4,4,4099
3,3,1,4,4,4100
3,3,1,4,4,5026
1,3,3,4,2,5027
1,3,3,4,2,5031
1,3,3,3,2,5032
1,3,3,3,2,5034
1,3,3,4,2,5035
1,3,1,3,2,5039
1,3,3,3,2,5040
1,3,3,3,2,11163
2,3,4,3,3,11165
2,3,4,4,3,11167
2,3,4,3,3,11168
2,3,4,3,3,11171
2,3,4,3,3,11173
2,3,4,4,3,11175
2,3,4,3,3,11176
2,3,4,3,3,11922
1,2,3,3,3,11924
1,2,3,3,3,11928
1,2,3,3,3,11929
1,2,3,3,3,11930
1,2,3,3,3,11932
1,2,3,3,3,11936
1,2,3,3,3,11937
1,2,3,3,3,14056
1,1,2,4,1,14058
1,1,2,4,1,14059
1,1,2,3,1,14060
1,1,2,3,1,14064
1,1,2,4,1,14066
1,1,2,4,1,14067
1,1,2,3,1,14068
1,1,2,3,1,16454
3,3,4,3,3,16456
3,3,4,4,3,16457
3,3,4,3,3,16458
3,3,4,3,3,16462
3,3,4,3,3,16464
3,3,4,4,3,16465
3,3,4,3,3,16466
3,3,4,3,3,19207
4,4,3,3,1,19209
4,4,3,3,1,19212
4,4,3,3,1,19213
4,4,3,3,1,19215
4,4,3,3,1,19217
4,4,3,3,1,19220
4,4,3,3,1,19221
4,4,3,3,1,20080
4,2,3,3,1,20082
4,2,3,3,1,20083
4,2,3,3,1,20084
4,2,3,3,1,20088
4,2,3,3,1,20090
4,2,3,3,1,20091
4,2,3,3,1,20092
4,2,3,3,1,20635
4,2,2,3,2,20638
4,2,2,3,2,20641
4,2,2,3,2,20642
4,2,2,3,2,20643
4,2,2,3,2,20646
4,2,2,3,2,20649
4,2,2,3,2,20650
4,2,2,3,2,226
4,3,1,3,2,227
4,3,1,3,2,275
4,3,1,3,2,887
4,3,1,3,2,889
4,3,1,3,2,893
4,3,1,3,4,894
4,3,4,3,2,895
4,3,1,3,2,897
1,4,2,3,4,901
1,4,2,3,3,902
1,3,3,3,3,920
2,3,2,3,1,922
2,3,2,3,1,925
2,3,2,4,1,926
2,3,2,4,1,928
2,3,2,3,1,930
2,3,2,3,1,933
2,3,2,4,1,934
2,3,2,4,1,1016
1,4,4,3,4,1018
1,4,4,3,4,1021
1,4,4,3,4,1022
1,4,4,3,4,1024
1,4,4,3,4,1026
1,4,4,3,4,1029
1,2,1,3,4,1030
1,4,4,3,4,1081
1,3,4,3,3,1083
1,3,4,3,3,1085
1,3,4,3,3,1086
1,3,4,3,3,1089
1,3,4,3,3,1091
1,3,4,3,3,1093
1,3,2,3,3,1094
1,3,4,3,3,1302
1,2,3,4,3,1304
1,2,3,3,3,1307
1,2,3,3,3,1308
1,2,3,3,3,1309
1,2,3,4,3,1311
1,2,3,3,3,1314
1,2,3,3,3,1315
1,2,3,3,3,1376
1,3,2,3,2,1377
1,3,2,4,2,1378
1,3,2,3,2,1379
1,3,2,3,2,1380
1,3,2,3,2,1381
1,3,2,4,2,1382
1,3,3,3,2,1383
1,3,2,3,2,1384
1,3,3,3,1,1385
1,3,3,4,1,1386
1,3,3,3,1,1387
1,3,3,3,1,1388
1,3,3,3,1,1389
1,3,3,3,1,1390
1,3,3,3,1,1767
1,3,3,3,1,1769
1,3,3,4,1,1773
1,3,3,3,1,1774
1,3,3,3,1,1776
1,3,3,3,1,1780
1,3,3,3,1,1781
1,3,3,3,1,1845
1,3,3,3,1,1847
3,2,4,3,4,1850
3,2,4,3,4,1851
3,2,4,3,4,1852
3,2,4,3,4,1854
3,2,4,3,4,1857
3,2,4,3,4,1858
3,2,4,3,4,1936
1,3,4,3,3,1938
1,3,4,3,3,1942
1,3,4,3,3,1943
1,3,4,3,3,1944
1,3,4,3,3,1946
1,3,4,3,3,1950
1,3,4,3,3,1951
1,3,4,3,3,2414
3,3,4,4,1,2415
3,3,4,3,1,2419
3,3,4,3,1,2420
3,3,4,3,1,2422
3,3,4,4,1,2423
3,3,4,3,1,2427
3,3,4,3,1,2428
3,3,4,3,1,2990
1,3,1,3,4,2991
1,3,1,4,4,2993
1,3,1,3,4,2994
1,3,1,3,4,2998
1,3,1,3,4,2999
1,3,1,4,4,3001
1,3,1,3,4,3002
1,3,1,3,4,3022
1,3,2,3,4,3023
1,3,2,3,4,3025
1,3,2,4,4,3026
1,3,2,4,4,3030
1,3,2,3,4,3031
1,3,2,3,4,3033
1,3,2,4,4,3034
1,3,3,3,4,3204
1,4,1,3,3,3207
1,4,1,3,3,3208
1,4,1,3,3,3209
1,4,1,3,3,3212
1,4,1,3,3,3215
1,4,1,3,3,3216
1,4,1,3,3,3217
1,4,1,3,3,3542
2,4,1,3,1,3543
2,4,1,3,1,3547
2,4,1,3,1,3548
2,4,1,3,1,3550
2,4,1,3,1,3551
2,4,1,3,1,3555
2,4,1,3,1,3556
2,4,1,3,1,3637
1,2,1,3,3,3640
1,2,1,3,3,3641
1,2,1,3,3,3642
1,2,1,3,3,3645
1,2,1,3,3,3648
1,2,1,3,3,3649
1,2,1,3,3,3650
1,2,1,3,3,3701
2,3,4,4,3,3703
2,3,4,3,3,3707
2,3,4,3,3,3708
2,3,4,3,3,3709
2,3,4,4,3,3711
2,3,4,3,3,3715
2,3,4,3,3,3716
2,3,4,3,3,3862
1,3,4,3,3,3864
1,3,4,3,3,3867
1,3,4,3,3,3868
1,3,4,3,3,3870
1,3,4,3,3,3872
1,3,4,3,3,3875
1,3,4,3,3,3876
1,3,3,3,3,4053
1,3,1,4,1,4055
1,3,1,3,1,4057
1,3,1,4,1,4058
1,3,1,4,1,4061
1,3,1,4,1,4063
1,3,1,3,1,4065
1,3,1,4,1,4066
1,3,1,4,1,4198
3,2,1,3,1,4200
3,2,1,3,1,4201
3,2,1,3,1,4202
3,2,1,3,1,4206
3,2,1,3,1,4208
3,2,1,3,1,4209
3,2,1,3,1,4210
3,2,1,3,1,4458
1,3,3,3,4,4460
1,3,3,3,4,4462
1,3,3,3,4,4463
1,3,3,3,4,4466
1,3,3,3,4,4468
1,3,3,3,4,4470
1,3,3,3,4,4471
1,3,3,3,4,4490
3,3,4,4,2,4492
3,3,4,3,2,4496
3,3,4,3,2,4497
3,3,4,3,2,4498
3,3,4,4,2,4500
3,3,4,3,2,4504
3,3,4,3,2,4505
3,3,4,3,2,4656
1,3,4,3,1,4658
1,3,4,3,1,4662
1,3,4,3,1,4663
1,3,4,3,1,4664
1,3,4,3,1,4666
1,3,4,3,1,4670
1,3,4,3,1,4671
1,3,4,3,1,4793
4,3,4,3,2,4795
4,3,4,3,2,4799
4,3,4,3,2,4800
4,3,4,3,2,4802
4,3,4,3,2,4806
4,3,4,3,2,4807
4,3,4,3,2,5514
4,3,4,3,2,5517
2,3,4,3,3,5518
2,3,4,3,3,5519
2,3,4,3,3,5521
2,3,4,3,3,5524
2,3,4,3,3,5525
2,3,4,3,3,5526
2,3,4,3,3,5671
4,3,4,3,3,5673
4,3,4,3,3,5674
4,3,4,3,3,5675
4,3,4,3,3,5679
4,3,4,3,3,5681
4,3,4,3,3,5682
4,3,4,3,3,5683
4,3,4,3,3,5718
2,3,3,3,3,5720
2,3,3,3,3,5722
2,3,3,3,3,5723
2,3,3,3,3,5726
2,3,3,3,3,5728
2,3,3,3,3,5730
2,3,3,3,3,5731
2,3,3,3,3,5892
3,4,1,3,1,5895
3,4,1,3,1,5898
3,4,1,3,1,5899
3,4,1,3,1,5900
3,4,1,3,1,5903
3,4,1,3,1,5906
3,4,1,3,1,5907
3,4,1,3,1,6052
3,3,1,3,2,6053
3,3,1,4,2,6058
3,3,1,4,2,6060
3,3,1,4,2,6061
3,3,1,3,2,6065
3,3,1,4,2,6066
3,3,1,4,2,6247
3,3,1,4,2,6250
2,3,4,3,4,6253
2,3,4,4,4,6254
2,3,4,3,4,6255
2,3,4,3,4,6258
2,3,4,4,4,6261
2,3,4,3,4,6262
2,3,4,3,4,6295
4,3,1,3,3,6297
4,3,1,3,3,6301
4,3,1,3,3,6302
4,3,1,3,3,6303
4,3,1,3,3,6305
4,3,1,3,3,6309
4,3,1,3,3,6310
4,3,1,3,3,6435
3,3,2,3,4,6438
3,3,2,3,4,6439
3,3,2,3,4,6440
3,3,2,3,4,6443
3,3,2,3,4,6446
3,2,4,3,4,6447
3,3,2,3,4,6448
3,3,2,3,4,7059
2,3,3,3,1,7060
2,3,3,3,1,7064
2,3,3,3,1,7065
2,3,3,3,1,7066
2,3,3,3,1,7067
2,3,3,3,1,7071
2,3,3,3,1,7072
2,3,3,3,1,7450
2,3,3,3,1,7452
2,3,3,4,1,7456
2,3,3,3,1,7457
2,3,3,3,1,7458
2,3,3,3,1,7459
2,3,3,4,1,7463
2,3,3,3,1,7464
2,3,3,3,1,7495
2,3,4,3,4,7498
2,3,4,4,4,7499
2,3,4,3,4,7500
2,3,4,3,4,7502
2,3,4,3,4,7505
2,3,4,4,4,7506
2,3,4,3,4,7507
2,3,4,3,4,7573
1,3,2,3,4,7575
1,3,2,3,4,7579
1,3,2,3,4,7580
1,3,2,3,4,7581
1,3,2,3,4,7583
1,3,2,3,4,7587
1,3,2,3,4,7588
1,3,2,3,4,7789
2,3,2,3,2,7791
2,3,2,3,2,7795
2,3,2,3,2,7796
2,3,2,3,2,7798
2,3,2,3,2,7802
2,3,2,3,2,7803
2,3,2,3,2,8103
2,3,2,3,2,8105
4,3,3,3,3,8109
4,3,3,3,3,8110
4,3,3,3,3,8111
4,3,3,3,3,8113
4,3,3,3,3,8117
4,3,3,3,3,8118
4,3,3,3,3,8167
3,3,3,4,3,8169
3,3,3,3,3,8170
3,3,3,3,3,8171
3,3,3,3,3,8175
3,3,3,4,3,8177
3,3,3,3,3,8178
3,3,3,3,3,8179
3,3,3,3,3,8358
2,3,2,4,3,8361
2,3,2,3,3,8364
2,3,2,3,3,8365
2,3,2,3,3,8366
2,3,2,4,3,8369
2,3,2,3,3,8372
2,3,2,3,3,8373
2,3,2,3,3,9268
4,4,4,4,1,9270
4,4,4,3,1,9272
4,4,4,3,1,9273
4,4,4,3,1,9276
4,4,4,4,1,9278
4,4,4,3,1,9280
4,4,4,3,1,9281
4,4,4,3,1,9908
4,3,1,3,2,9910
4,3,1,3,2,9911
4,3,1,3,2,9912
4,3,1,3,2,9916
4,3,1,3,2,9918
4,3,1,3,2,9919
